, mva , ava , aal ,uaal,funded_ratio,return_1yr,return_1yr_ava,arr,dr,er_nc_pct,adec,adec_paid_pct,er_proj_adec_pct,statutory_payment_percentage,statutory_payment_dollar,inflation_assum,payroll,total_benefit_payments,refunds,admin_exp,ee_contribution,er_contribution,other_additions,cash,fixed_income,equity,alternatives,Other,total_allocation,number_of_years_remaining_on_amortization_schedule, investments , benefit_changes , assumption_method_changes , negative_amo , demographic , pay_increase , net_ual_change 
2010,"$4,714,160","$5,409,167","$7,304,235","$1,895,067",74.06%,11.60%,2.00%,8.00%,8.00%,6.58%,"$169,604",1,11.14%,0.00%,0.00%,4.00%,"$1,523,000","$318,998,006","-3,586,861","-5,981,358","$30,334,716","$170,186,564","$6,099,736",0.34%,23.26%,62.99%,11.60%,1.80%,100.00%,26,"$319,700","$13,000",$0,51700,"-$17,100",2800,"$370,100"
2011,"$5,784,995","$5,467,472","$7,734,138","$2,266,666",70.69%,25.40%,3.10%,8.00%,8.00%,6.70%,"$195,629",1,12.05%,0.00%,0.00%,4.00%,"$1,623,000","$344,140,357","-6,123,910","-6,374,379","$34,639,544","$196,428,733","$8,966,315",0.40%,19.75%,67.00%,10.65%,2.20%,100.00%,25,"$259,800","$148,900",$0,61200,"-$33,200",-65100,"$371,600"
2012,"$5,677,708","$5,625,388","$8,162,729","$2,537,340",68.92%,-0.40%,4.50%,8.00%,8.00%,6.71%,"$229,631",1,13.62%,0.00%,0.00%,4.00%,"$1,686,000","$359,330,673","-7,420,785","-6,794,526","$41,361,523","$230,495,674","$8,980,577",0.54%,18.88%,63.88%,13.63%,3.06%,100.00%,22,"$189,500","$95,100",$0,55000,"-$33,100",-35800,"$270,700"
2013,"$6,418,519","$6,159,334","$8,284,167","$2,124,834",74.35%,15.00%,11.40%,8.00%,8.00%,6.66%,"$249,541",1,14.74%,0.00%,0.00%,4.00%,"$1,693,000","$396,607,128","-8,446,701","-7,340,273","$44,549,911","$249,062,186","$8,915,952",1.01%,17.24%,65.02%,11.94%,4.80%,100.00%,21,"-$190,900","$23,400","-$141,800",60300,"-$74,300",-89200,"-$412,500"
2014,"$7,512,200","$6,894,879","$8,863,642","$1,968,764",77.79%,18.80%,13.80%,7.75%,7.75%,6.66%,"$264,100",1,15.13%,0.00%,0.00%,3.75%,"$1,745,000","$414,548,645","-9,455,348","-7,209,769","$48,237,869","$264,477,703","$6,786,821",,15.73%,67.23%,11.81%,5.22%,100.00%,25,"-$351,300","$109,500","$209,000",23000,"-$59,500",-86700,"-$156,000"
2015,"$7,530,700","$7,351,735","$9,294,825","$1,943,090",79.09%,2.20%,8.80%,7.50%,7.50%,7.15%,"$263,300",1,16.01%,0.00%,0.00%,3.25%,"$1,645,000","$451,912,791","-12,195,637","-7,201,144","$51,596,001","$262,327,561","$6,951,115",0.45%,15.89%,67.26%,11.73%,4.68%,100.00%,21,"-$71,400","$20,000","$184,100",13800,"-$78,600",-93600,"-$25,700"
2016,"$7,350,772","$7,768,872","$9,662,683","$1,893,812",80.40%,-0.10%,8.20%,7.50%,7.50%,7.33%,"$264,200",1,15.67%,0.00%,0.00%,3.25%,"$1,686,500","$480,913,495","-13,188,729","-7,181,913","$55,944,132","$263,141,390","$6,675,500",0.50%,17.09%,61.29%,16.21%,4.90%,99.99%,30,"-$47,700","$48,800",$0,12000,"-$73,200",10800,"-$49,300"
2017,"$7,998,521","$8,157,038","$10,510,180","$2,353,143",77.61%,11.80%,7.70%,7.15%,7.15%,7.61%,"$261,300",1,15.66%,0.00%,0.00%,3.25%,"$1,668,800","$508,200,406","-13,755,408","-9,502,608","$58,500,339","$261,656,384","$6,512,983",0.42%,16.08%,63.81%,14.98%,4.71%,100.00%,26,"-$17,600","$254,000","$409,500",10800,"-$86,800",-110600,"$459,300"
2018,"$8,578,750","$8,416,354","$10,694,265","$2,277,911",78.70%,10.23%,5.80%,7.15%,7.15%,7.51%,"$276,300",1,14.75%,0.00%,0.00%,3.25%,"$1,723,600","$530,861,312","-13,727,908","-11,503,639","$64,730,519","$276,229,082","$6,624,924",0.33%,15.08%,64.60%,15.35%,4.65%,100.00%,24,"$108,400","$76,500",$0,16100,"-$81,700",-4900,"$114,400"
2019,"$8,803,212","$8,739,000","$11,129,000","$2,390,000",78.52%,5.32%,6.50%,7.15%,7.15%,7.76%,"$293,013",1,15.32%,0.00%,0.00%,3.25%,"$1,802,400","$555,352,597","-16,239,928","-14,739,700","$67,038,893","$293,013,342","$5,755,241",1.00%,15.90%,63.60%,14.60%,5.00%,100.10%,24,52500,121400,0,11100,"-$70,300",-2600,"$112,100"
