State,Year,(R01) Total Revenue,(R02) Total Rev-Own Sources,(R03) General Revenue,(R04) Gen Rev-Own Sources,(R05) Total Taxes,(R31) Total IG Revenue,(E001) Total Expenditure,(E002) Total IG Expenditure,(E013) General Expenditure
Alabama,2016,"46,651,306","36,239,925","38,703,898","28,292,517","16,025,150","10,411,381","47,285,873",0,"40,186,385"
Alabama,2017,"49,933,397","38,964,041","40,025,938","29,056,582","16,424,779","10,969,356","47,543,689",0,"40,334,530"
Alabama,2018,"51,242,675","40,007,510","41,600,355","30,365,191","17,229,717","11,235,164","48,811,295",0,"41,496,932"
Florida,2000,"92,402,130","80,683,704","75,864,502","64,146,076","41,936,682","11,718,426","84,300,913",0,"75,290,415"
Florida,2002,"93,274,596","78,318,339","87,307,114","72,350,857","44,885,437","14,956,257","99,291,052",0,"87,065,901"
Florida,2004,"129,013,687","109,185,081","102,051,183","82,222,577","53,789,454","19,828,606","115,302,969",0,"100,527,590"
Florida,2005,"135,491,071","113,344,649","112,202,060","90,055,638","59,804,961","22,146,422","130,860,382",0,"113,310,209"
Florida,2006,"153,086,214","129,382,757","126,642,657","102,939,200","69,635,375","23,703,457","140,899,505","105,769","122,990,879"
Florida,2007,"172,906,348","149,996,158","133,752,459","110,842,269","73,010,878","22,910,190","148,630,832",0,"130,750,295"
Florida,2008,"148,608,841","125,390,295","140,022,751","116,804,205","73,491,669","23,218,546","158,655,017",0,"139,854,228"
Florida,2009,"118,420,096","94,260,652","133,732,642","109,573,198","68,350,743","24,159,444","160,507,780",0,"138,417,109"
Florida,2010,"166,817,472","137,939,772","135,791,149","106,913,449","64,874,083","28,877,700","163,536,447",0,"137,008,841"
Florida,2011,"180,202,820","148,282,070","137,859,679","105,938,929","64,379,296","31,920,750","163,070,769",0,"136,982,351"
Florida,2012,"148,087,824","120,825,970","133,287,049","106,025,195","64,645,928","27,261,854","158,447,344",0,"134,513,930"
Florida,2013,"172,330,769","144,540,051","136,051,408","108,260,690","66,080,420","27,790,718","155,222,550",0,"133,467,333"
Florida,2014,"180,418,044","150,825,102","140,653,596","111,060,654","66,847,574","29,592,942","160,450,026",0,"137,612,264"
Florida,2015,"167,483,541","137,776,110","145,071,261","115,363,830","69,369,670","29,707,431","164,800,873",0,"142,729,146"
Florida,2016,"164,755,203","135,157,466","149,892,554","120,294,817","72,722,182","29,597,737","167,777,134",0,"145,404,608"
Florida,2017,"192,375,725","162,387,640","156,296,387","126,308,302","77,736,199","29,988,085","177,153,934",0,"154,189,978"
Florida,2018,"200,484,325","168,493,728","166,105,388","134,114,790","84,097,146","31,990,598","188,039,027",0,"163,477,179"
Georgia,2000,"49,309,807","42,239,839","39,690,394","32,620,426","23,253,547","7,069,968","43,516,518",0,"38,077,731"
Georgia,2002,"46,166,078","36,808,768","44,359,631","35,002,321","24,058,380","9,357,310","53,610,112",0,"46,250,898"
Georgia,2004,"56,986,796","47,931,770","46,421,239","37,366,213","25,654,760","9,055,026","58,471,941",0,"50,210,217"
Georgia,2005,"60,296,631","49,717,166","50,184,109","39,604,644","27,486,373","10,579,465","60,729,726",0,"52,528,895"
Georgia,2006,"66,058,147","54,059,505","56,561,489","44,562,847","30,952,465","11,998,642","64,350,861","39,981","55,547,758"
Georgia,2007,"75,994,470","62,194,603","62,299,785","48,499,918","33,089,820","13,799,867","73,572,744",0,"63,669,178"
Georgia,2008,"73,036,779","58,990,904","63,868,740","49,822,865","33,614,324","14,045,875","77,693,304",0,"65,274,600"
Georgia,2009,"63,194,910","49,389,946","60,482,863","46,677,899","31,574,590","13,804,964","76,204,514",0,"64,256,643"
Georgia,2010,"76,369,638","59,150,127","62,768,331","45,548,820","30,183,068","17,219,511","78,158,468",0,"63,897,345"
Georgia,2011,"84,591,622","68,215,362","63,907,526","47,531,266","31,394,011","16,376,260","78,539,361",0,"64,502,208"
Georgia,2012,"71,202,323","56,424,535","62,805,487","48,027,699","32,311,076","14,777,788","78,447,229",0,"64,613,926"
Georgia,2013,"82,325,261","67,037,998","64,761,397","49,474,134","33,316,947","15,287,263","78,287,561",0,"64,836,770"
Georgia,2014,"86,575,820","71,595,092","65,349,692","50,368,964","34,132,868","14,980,728","79,438,516",0,"65,472,647"
Georgia,2015,"78,522,909","63,475,655","66,995,099","51,947,845","35,872,437","15,047,254","79,597,340",0,"66,126,532"
Georgia,2016,"78,329,632","62,677,143","69,861,935","54,209,446","37,820,219","15,652,489","82,044,149",0,"68,699,529"
Georgia,2017,"91,510,810","75,152,672","73,265,321","56,907,183","39,205,358","16,358,138","85,500,358",0,"71,906,267"
Georgia,2018,"95,152,983","78,677,157","76,795,787","60,319,962","41,182,201","16,475,825","88,931,815",0,"74,453,165"
Hawaii,2000,"8,488,284","7,194,087","7,091,814","5,797,617","4,101,617","1,294,197","8,253,845","14,843","7,306,102"
Hawaii,2002,"7,451,684","5,904,197","7,428,704","5,881,217","4,239,557","1,547,487","9,402,041","14,230","8,303,689"
Hawaii,2004,"10,174,146","8,340,173","8,395,333","6,561,360","4,812,056","1,833,973","9,888,798",249,"8,673,579"
Hawaii,2005,"11,000,269","9,035,715","9,554,499","7,589,945","5,523,747","1,964,554","10,533,933",0,"9,329,110"
Hawaii,2006,"11,998,548","9,988,531","10,467,477","8,457,460","6,199,404","2,010,017","11,018,210","4,213","9,849,871"
Hawaii,2007,"13,592,500","11,350,682","11,240,174","8,998,356","6,560,582","2,241,818","12,279,222",305,"11,000,159"
Hawaii,2008,"11,968,775","9,678,930","11,699,550","9,409,705","6,754,321","2,289,845","13,424,635",324,"11,891,790"
Hawaii,2009,"9,920,831","7,451,143","11,705,956","9,236,268","6,568,433","2,469,688","14,266,860",350,"12,596,276"
Hawaii,2010,"14,665,662","11,838,965","12,220,735","9,394,038","6,756,975","2,826,697","14,339,947",335,"12,201,604"
Hawaii,2011,"15,945,159","12,764,296","12,899,001","9,718,138","6,751,858","3,180,863","14,389,261",354,"12,206,038"
Hawaii,2012,"13,855,773","11,344,315","12,903,980","10,392,522","7,447,646","2,511,458","14,888,532",370,"12,507,271"
Hawaii,2013,"16,766,094","14,114,182","13,959,041","11,307,129","8,061,705","2,651,912","14,888,957",382,"12,590,042"
Hawaii,2014,"17,722,458","14,631,684","14,619,165","11,528,391","8,122,414","3,090,774","15,800,076",386,"13,414,970"
Hawaii,2015,"17,156,084","14,131,480","15,486,679","12,462,075","8,709,528","3,024,604","15,574,132",382,"13,058,736"
Hawaii,2016,"17,454,318","14,135,544","16,515,407","13,196,633","9,239,417","3,318,774","16,353,645",382,"13,708,720"
Hawaii,2017,"20,329,634","17,230,851","17,231,833","14,133,050","9,457,286","3,098,783","16,841,889",382,"14,052,870"
Hawaii,2018,"20,169,887","16,959,158","17,664,411","14,453,682","10,416,009","3,210,729","17,730,232",382,"14,960,146"
Idaho,2000,"7,590,426","6,439,983","6,076,954","4,926,511","3,294,239","1,150,443","6,404,069",0,"5,827,839"
Idaho,2002,"6,872,684","5,457,532","6,619,627","5,204,475","3,291,095","1,415,152","7,564,676",0,"6,803,725"
Idaho,2004,"9,754,123","7,879,159","7,757,897","5,882,933","3,805,827","1,874,964","8,425,980",0,"7,539,952"
Idaho,2005,"10,004,264","8,127,417","8,299,784","6,422,937","4,182,872","1,876,847","8,914,976",30,"8,068,668"
Idaho,2006,"10,847,067","8,884,003","8,853,607","6,890,543","4,498,509","1,963,064","9,328,396","6,796","8,430,997"
Idaho,2007,"12,268,852","10,294,857","9,365,553","7,391,558","4,736,005","1,973,995","9,894,554",6,"8,922,437"
Idaho,2008,"10,534,067","8,375,857","9,979,667","7,821,457","4,923,030","2,158,210","10,777,774",5,"9,690,551"
Idaho,2009,"9,096,518","6,801,815","9,771,251","7,476,548","4,566,735","2,294,703","11,606,524",4,"10,263,730"
Idaho,2010,"12,489,961","9,669,171","10,161,359","7,340,569","4,385,238","2,820,790","12,054,282",312,"10,398,536"
Idaho,2011,"14,106,986","11,121,402","10,772,844","7,787,260","4,737,710","2,985,584","12,017,709",2,"10,441,063"
Idaho,2012,"11,855,694","9,100,674","10,441,447","7,686,427","4,850,322","2,755,020","12,003,711",0,"10,534,499"
Idaho,2013,"13,284,760","10,566,781","10,681,162","7,963,183","5,117,027","2,717,979","12,379,243",0,"10,999,596"
Idaho,2014,"14,122,263","11,389,255","10,932,761","8,199,753","5,272,136","2,733,008","12,606,110",0,"11,054,828"
Idaho,2015,"13,218,586","10,435,352","11,567,538","8,784,304","5,639,621","2,783,234","12,666,037",0,"11,255,013"
Idaho,2016,"13,188,505","10,437,899","11,695,270","8,944,664","5,923,220","2,750,606","12,475,868",0,"11,009,253"
Idaho,2017,"15,543,360","12,768,102","12,223,550","9,448,292","6,375,976","2,775,258","13,219,673",0,"11,672,005"
Idaho,2018,"15,995,519","13,039,132","12,945,906","9,989,518","6,777,424","2,956,388","14,214,088",0,"12,646,768"
Illinois,2000,"80,695,041","69,904,283","64,419,965","53,629,207","40,256,016","10,790,758","74,727,137","2,769","64,405,935"
Illinois,2002,"73,670,336","60,953,818","69,180,799","56,464,281","41,652,241","12,716,518","87,401,299","3,282","73,821,834"
Illinois,2004,"100,580,663","84,762,131","76,599,604","60,781,072","45,269,891","15,818,532","97,001,009","1,487","81,077,267"
Illinois,2005,"99,669,899","84,265,202","79,971,222","64,566,525","48,705,205","15,404,697","97,723,392",37,"81,970,756"
Illinois,2006,"107,810,566","91,845,504","87,246,923","71,281,861","51,970,857","15,965,062","101,227,579","61,713","84,490,408"
Illinois,2007,"120,065,026","103,063,042","91,756,233","74,754,249","55,071,374","17,001,984","109,028,590",205,"91,227,660"
Illinois,2008,"102,660,793","85,280,421","93,956,043","76,575,671","56,208,961","17,380,372","115,875,062",217,"96,441,463"
Illinois,2009,"74,484,040","54,382,829","95,551,020","75,449,809","55,412,072","20,101,211","124,490,309",99,"101,685,801"
Illinois,2010,"126,383,763","104,136,577","98,933,620","76,686,434","56,151,465","22,247,186","129,518,382",17,"102,479,468"
Illinois,2011,"135,949,057","113,361,362","102,857,169","80,269,474","60,111,203","22,587,695","129,545,322",7,"103,386,377"
Illinois,2012,"119,921,125","100,385,929","107,818,240","88,283,044","68,980,017","19,535,196","130,677,168","10,429","104,620,439"
Illinois,2013,"144,315,610","123,606,988","113,032,760","92,324,138","71,995,783","20,708,622","134,561,138","8,813","108,023,784"
Illinois,2014,"150,125,874","128,399,981","115,086,058","93,360,165","73,525,405","21,725,893","139,684,946","7,781","110,670,066"
Illinois,2015,"136,175,393","113,293,386","116,740,303","93,858,296","73,479,954","22,882,007","142,658,109","9,458","115,460,894"
Illinois,2016,"128,361,488","105,042,779","115,501,726","92,183,017","71,128,899","23,318,709","140,191,518","4,254","111,479,164"
Illinois,2017,"148,674,835","125,481,535","119,117,043","95,923,743","73,678,260","23,193,300","146,709,578","5,763","117,086,267"
Illinois,2018,"156,695,384","131,309,857","124,560,648","99,175,120","76,103,974","25,385,528","153,179,718","15,375","123,476,696"
Indiana,2000,"32,715,990","27,546,996","29,749,437","24,580,443","16,363,430","5,168,994","31,249,891","4,200","28,744,013"
Indiana,2002,"34,220,921","27,938,332","32,362,688","26,080,099","16,986,637","6,282,589","36,270,677",0,"32,765,104"
Indiana,2004,"41,066,913","33,727,056","35,786,161","28,446,304","18,675,137","7,339,857","39,447,528",0,"35,654,449"
Indiana,2005,"44,301,843","37,050,851","39,619,897","32,368,905","22,000,449","7,250,992","42,164,428",0,"38,253,496"
Indiana,2006,"50,510,259","42,924,160","45,285,280","37,699,181","22,377,185","7,586,099","44,142,345","32,354","40,036,146"
Indiana,2007,"49,781,264","41,553,943","42,635,461","34,408,140","21,804,556","8,227,321","46,821,898",0,"42,111,322"
Indiana,2008,"46,949,468","38,378,247","44,810,751","36,239,530","23,632,475","8,571,221","48,852,533",0,"44,068,942"
Indiana,2009,"46,647,994","36,916,890","46,541,925","36,810,821","24,052,967","9,731,104","51,508,484","14,975","45,558,127"
Indiana,2010,"54,802,507","43,980,025","46,794,830","35,972,348","23,352,684","10,822,482","53,247,203","31,707","45,650,297"
Indiana,2011,"57,105,262","45,608,082","47,517,010","36,019,830","23,173,571","11,497,180","52,779,643","30,167","45,909,868"
Indiana,2012,"51,624,918","40,621,152","47,403,236","36,399,470","24,214,442","11,003,766","52,486,044","28,204","45,901,622"
Indiana,2013,"55,255,339","43,532,457","48,824,884","37,102,002","24,557,566","11,722,882","52,759,068","24,812","46,499,147"
Indiana,2014,"57,082,997","45,734,043","49,259,742","37,910,788","24,578,230","11,348,954","54,525,109","3,658","47,983,489"
Indiana,2015,"58,463,486","45,218,739","52,808,803","39,564,056","25,226,115","13,244,747","54,793,743","3,289","49,052,867"
Indiana,2016,"60,406,402","45,674,559","55,164,908","40,433,065","25,648,443","14,731,843","57,689,862","3,289","51,845,333"
Indiana,2017,"63,486,275","48,342,749","56,210,660","41,067,134","26,562,012","15,143,526","59,373,702","2,125","53,930,729"
Indiana,2018,"66,936,371","51,543,338","59,041,589","43,648,556","27,956,466","15,393,033","61,605,803","1,155","55,942,993"
Iowa,2000,"17,220,008","14,334,575","15,134,160","12,248,727","8,090,525","2,885,433","17,274,861","36,010","15,598,772"
Iowa,2002,"17,601,402","13,975,167","16,871,168","13,244,933","8,330,414","3,626,235","19,293,784","42,292","17,228,722"
Iowa,2004,"22,544,565","18,240,340","18,396,343","14,092,118","9,018,748","4,304,225","20,634,486","48,062","18,444,484"
Iowa,2005,"23,204,137","18,823,646","19,376,419","14,995,928","9,704,913","4,380,491","21,486,468","57,100","19,268,857"
Iowa,2006,"24,836,440","20,325,320","20,637,085","16,125,965","10,253,364","4,511,120","23,103,915","117,262","20,724,667"
Iowa,2007,"27,641,332","23,082,790","21,838,221","17,279,679","10,911,293","4,558,542","24,247,883",0,"21,633,652"
Iowa,2008,"24,960,517","20,147,789","23,129,542","18,316,814","11,523,582","4,812,728","25,822,581",0,"23,031,653"
Iowa,2009,"22,827,675","16,877,623","24,989,811","19,039,759","11,997,612","5,950,052","28,316,038",0,"25,138,068"
Iowa,2010,"31,054,604","24,050,283","26,102,378","19,098,057","12,018,102","7,004,321","29,537,122",0,"25,663,960"
Iowa,2011,"34,619,721","27,200,698","27,645,657","20,226,634","12,717,076","7,419,023","30,322,735",0,"26,455,253"
Iowa,2012,"32,963,104","26,857,483","29,163,608","23,057,987","13,564,725","6,105,621","31,324,706",0,"27,452,358"
Iowa,2013,"36,124,950","30,226,636","29,828,501","23,930,187","14,042,964","5,898,314","31,134,256",0,"27,295,781"
Iowa,2014,"38,004,668","31,903,927","30,677,245","24,576,504","14,053,242","6,100,741","32,527,391",0,"28,438,147"
Iowa,2015,"36,795,579","30,267,702","32,495,226","25,967,349","14,804,910","6,527,877","33,750,921",0,"29,888,300"
Iowa,2016,"36,750,610","30,160,476","32,967,426","26,377,292","15,297,255","6,590,134","34,587,426",0,"30,564,782"
Iowa,2017,"41,272,157","35,126,891","34,406,382","28,261,116","15,694,387","6,145,266","35,079,299",0,"30,938,978"
Iowa,2018,"41,402,754","34,930,795","35,353,117","28,881,156","16,249,049","6,471,961","36,486,803",0,"32,221,232"
Kansas,2000,"16,234,734","13,752,468","13,390,882","10,908,616","7,616,353","2,482,266","14,419,195",308,"12,884,531"
Kansas,2002,"15,982,083","12,884,039","14,632,193","11,534,149","7,974,975","3,098,044","16,715,030",410,"14,873,108"
Kansas,2004,"18,582,666","15,483,759","16,309,366","13,210,459","9,241,973","3,098,907","18,352,754","1,538","16,285,769"
Kansas,2005,"19,990,130","16,587,585","16,996,625","13,594,080","9,459,880","3,402,545","18,948,149",256,"16,847,029"
Kansas,2006,"21,585,582","18,081,943","18,310,422","14,806,783","10,444,855","3,503,639","20,224,578","9,410","17,983,537"
Kansas,2007,"24,251,625","20,900,585","19,956,953","16,605,913","11,353,210","3,351,040","21,781,160",502,"19,365,394"
Kansas,2008,"22,609,524","18,928,957","21,297,544","17,616,977","11,873,774","3,680,567","23,609,816",579,"21,056,728"
Kansas,2009,"21,020,539","16,982,673","22,082,216","18,044,350","11,582,454","4,037,866","25,831,403",653,"22,774,858"
Kansas,2010,"26,329,759","21,514,300","22,634,520","17,819,061","11,403,432","4,815,459","26,535,739",921,"22,830,618"
Kansas,2011,"28,544,267","23,390,741","23,519,898","18,366,372","11,774,540","5,153,526","26,523,867","4,753","22,960,335"
Kansas,2012,"23,812,615","21,901,682","21,261,005","19,350,072","12,506,214","1,910,933","26,032,354",892,"22,432,890"
Kansas,2013,"29,076,999","25,074,831","24,211,566","20,209,398","12,854,815","4,002,168","25,976,620","1,751","22,589,294"
Kansas,2014,"29,639,433","25,469,287","24,467,980","20,297,834","12,746,191","4,170,146","27,258,610","1,272","23,774,810"
Kansas,2015,"28,125,525","24,009,451","24,772,650","20,656,576","12,831,756","4,116,074","27,958,492","35,022","24,436,558"
Kansas,2016,"28,166,307","24,133,971","25,454,178","21,421,842","13,278,912","4,032,336","28,812,393",723,"25,208,597"
Kansas,2017,"32,161,453","27,748,128","26,762,549","22,349,224","13,503,327","4,413,325","30,800,024",62,"27,173,413"
Kansas,2018,"33,096,272","28,771,616","28,326,421","24,001,765","15,091,841","4,324,656","30,832,819",42,"27,185,985"
Kentucky,2000,"25,199,960","20,604,468","19,423,017","14,827,525","10,172,414","4,595,492","21,473,123",0,"19,020,312"
Kentucky,2002,"22,474,542","17,060,958","21,231,073","15,817,489","10,780,757","5,413,584","24,795,341",0,"21,547,959"
Kentucky,2004,"26,833,520","20,591,738","22,982,008","16,740,226","11,460,494","6,241,782","26,818,189",0,"23,292,995"
Kentucky,2005,"28,068,853","21,928,004","23,856,265","17,715,416","12,261,812","6,140,849","27,308,152",860,"23,787,075"
Kentucky,2006,"30,925,835","24,173,819","26,090,659","19,338,643","13,324,218","6,752,016","29,926,922","16,139","25,748,490"
Kentucky,2007,"33,798,451","27,072,137","26,938,030","20,211,716","13,692,039","6,726,314","31,722,256","2,184","27,109,902"
Kentucky,2008,"29,486,579","22,472,391","28,188,975","21,174,787","14,127,380","7,014,188","34,603,320","2,249","29,725,564"
Kentucky,2009,"28,096,981","20,145,590","29,328,795","21,377,404","13,912,603","7,951,391","35,985,700",529,"30,402,666"
Kentucky,2010,"37,559,735","27,813,725","31,131,177","21,385,167","13,820,497","9,746,010","38,595,440",209,"31,764,509"
Kentucky,2011,"40,966,092","31,568,204","31,803,431","22,405,543","14,633,221","9,397,888","39,054,687",155,"32,298,289"
Kentucky,2012,"35,057,231","26,448,353","31,194,430","22,585,552","15,142,667","8,608,878","39,999,482",0,"33,079,313"
Kentucky,2013,"38,275,238","29,903,424","31,013,584","22,641,770","15,483,100","8,371,814","39,039,156",0,"32,462,014"
Kentucky,2014,"41,076,607","30,995,987","33,426,862","23,346,242","15,923,584","10,080,620","40,642,182",0,"33,993,105"
Kentucky,2015,"39,951,541","29,056,248","34,992,269","24,096,976","16,626,006","10,895,293","43,919,437",0,"37,539,236"
Kentucky,2016,"40,310,025","28,208,864","36,762,160","24,660,999","16,974,935","12,101,161","45,493,880",0,"38,916,739"
Kentucky,2017,"45,323,160","33,142,224","37,588,884","25,407,948","17,344,986","12,180,936","45,543,870",0,"38,846,288"
Kentucky,2018,"45,670,748","33,221,283","38,450,942","26,001,477","17,736,704","12,449,465","46,312,325",0,"39,454,873"
Louisiana,2000,"27,109,000","22,039,032","22,342,155","17,272,187","10,887,408","5,069,968","25,018,335",0,"22,277,007"
Louisiana,2002,"27,387,749","20,902,943","26,047,564","19,562,758","12,182,065","6,484,806","27,341,667",0,"23,994,677"
Louisiana,2004,"34,117,237","26,494,884","27,915,026","20,292,673","13,065,430","7,622,353","31,099,486",0,"27,261,007"
Louisiana,2005,"35,858,007","28,008,789","29,887,847","22,038,629","14,301,995","7,849,218","32,577,607",0,"28,537,097"
Louisiana,2006,"39,812,466","29,774,899","33,643,870","23,606,303","15,825,462","10,037,567","35,313,026","30,429","30,504,851"
Louisiana,2007,"46,744,362","33,464,321","39,371,563","26,091,522","17,595,335","13,280,041","39,277,207",0,"34,631,434"
Louisiana,2008,"45,041,608","29,896,781","43,211,015","28,066,188","17,962,823","15,144,827","46,897,142",0,"42,382,370"
Louisiana,2009,"38,025,641","24,387,598","41,514,934","27,876,891","17,590,204","13,638,043","48,011,388",0,"42,900,221"
Louisiana,2010,"47,078,081","32,725,094","40,825,260","26,472,273","16,244,220","14,352,987","48,754,655",0,"43,118,972"
Louisiana,2011,"49,275,566","35,634,835","40,735,868","27,095,137","16,687,461","13,640,731","48,949,394",0,"43,026,292"
Louisiana,2012,"41,978,621","29,872,623","39,173,265","27,067,267","16,956,567","12,105,998","46,872,886",0,"41,383,652"
Louisiana,2013,"48,596,820","37,200,913","39,786,554","28,390,647","17,387,817","11,395,907","46,504,603",0,"40,692,965"
Louisiana,2014,"49,937,088","39,068,685","38,943,675","28,075,272","18,108,245","10,868,403","46,263,567",0,"40,223,922"
Louisiana,2015,"43,990,865","33,475,074","38,534,517","28,018,726","18,406,200","10,515,791","45,903,350",0,"39,693,568"
Louisiana,2016,"42,674,534","31,661,820","38,723,324","27,710,610","18,223,927","11,012,714","46,766,439",0,"40,616,437"
Louisiana,2017,"52,314,765","39,269,256","42,156,229","29,110,720","19,998,024","13,045,509","49,186,346",0,"42,919,158"
Louisiana,2018,"52,208,969","38,161,102","43,692,080","29,644,214","20,369,038","14,047,866","49,854,841",0,"43,572,095"
Alaska,2000,"10,525,400","9,114,557","9,042,205","7,631,362","2,311,801","1,410,843","8,627,637","112,286","7,712,441"
Alaska,2002,"6,992,884","5,203,618","7,208,865","5,419,599","2,069,908","1,789,266","9,397,434",0,"8,443,238"
Alaska,2004,"11,031,362","8,610,717","8,522,586","6,101,941","2,368,886","2,420,645","10,016,276",0,"8,493,228"
Alaska,2005,"11,404,052","8,850,803","9,824,780","7,271,531","2,947,034","2,553,249","10,026,883",0,"8,795,467"
Alaska,2006,"13,246,588","10,840,149","11,023,466","8,617,027","3,664,728","2,406,439","10,797,128","4,895","9,364,465"
Alaska,2007,"15,534,046","12,999,376","12,967,609","10,432,939","4,944,778","2,534,670","11,658,984",0,"10,335,841"
Alaska,2008,"19,086,790","16,643,008","18,660,515","16,216,733","10,042,747","2,443,782","12,903,682",0,"11,524,119"
Alaska,2009,"12,599,251","9,931,984","14,283,410","11,616,143","6,529,743","2,667,267","14,546,360",0,"12,969,984"
Alaska,2010,"15,643,406","12,375,186","13,927,200","10,658,980","6,126,640","3,268,220","14,450,380",0,"12,657,376"
Alaska,2011,"18,353,715","14,992,756","15,725,556","12,364,597","7,249,809","3,360,959","14,580,270",0,"12,682,935"
Alaska,2012,"18,197,986","15,036,468","17,191,780","14,030,262","8,679,544","3,161,518","14,635,366",0,"12,606,390"
Alaska,2013,"17,583,374","14,591,682","15,230,948","12,239,256","6,797,934","2,991,692","15,488,434",0,"13,419,149"
Alaska,2014,"16,294,653","13,215,381","13,554,801","10,475,529","5,080,920","3,079,272","16,465,540",0,"14,421,663"
