"","year","plan_name","state","return_1yr","ava_return","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","mva_smooth","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","asset_valuation_method_for_gasb_reporting","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_nc_dollar","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"16",2016,"Alabama Employees' Retirement System (ERS)","Alabama","0.1022",NA,"Entry Age Normal","0.662","11082280000","11177074000","11108437318","16728009000","16977082000","435243000","1.0",NA,NA,"Level Percent Closed","-1084285000","1008381100","49436000","-11002000",NA,"5-year smoothed market","3572891000","238017020","0.0742","435098000",NA,"141168000","0.1183","6223000",NA,2019,NA,"0.07875","0.08","28.0","0.03125","0.0964","673115000","0.0961",NA,NA,NA,"Plan covers state and local employees","5645729000","0.03125"
"17",2017,"Alabama Employees' Retirement System (ERS)","Alabama","0.1286",NA,"Entry Age Normal","0.678","11690952000","12122471000","12052185602","17250835000","17390739000","426369000","1.0",NA,NA,"Level Percent Closed","-1098023000","1041042300","47683000","-11982000",NA,"5-year smoothed market","3584700000","233901390","0.0741","426215000",NA,NA,"0.1104","3413000",NA,2020,NA,"0.0775","0.0775","27.0","0.03","0.088","660116000","0.0965",NA,NA,NA,"Plan covers state and local employees","5559883000","0.03"
"18",2018,"Alabama Employees' Retirement System (ERS)","Alabama","0.0929",NA,"Entry Age Normal","0.687","12240597000","12720352000","12656731262","17829735000","17862111000","426340000","1.0",NA,NA,"Level Percent Closed","-1141953000","1084915300","45070000","-11219000",NA,"5-year smoothed market","3679181000","241741068","0.0739","426340000",NA,"198241787000","0.1096","4899000",NA,2021,NA,"0.077","0.0775","27.0","0.03","0.0871","668081000","0.0964",NA,NA,NA,"Plan covers state and local employees","5589138000","0.03"
"19",2019,"Alabama Employees' Retirement System (ERS)","Alabama","0.0278",NA,"Entry Age Normal","0.682","12645789000","12568473000",NA,"18543542000","18353891000","467553000","1.0",NA,NA,"Level Percent Closed","-1171825000","1130927500","47683000","-12934000",NA,"5-year smoothed market","3793957000","254439719","0.0737","467553000",NA,NA,"0.1111","4187000",NA,2022,NA,"0.077","0.077","27.0",NA,"0.0894","721993000","0.0954",NA,NA,NA,"Plan covers state and local employees","5897753000",NA
"20",2020,"Alabama Employees' Retirement System (ERS)","Alabama","0.0583",NA,"Entry Age Normal","0.682","13491176000","13150538000",NA,"19786472000","19706965000","519806000","1.0",NA,NA,"Level Percent Closed","-1256182000","1207370300","48675000","-13128000",NA,"5-year smoothed market","4011236000","270946792","0.0705","519806000",NA,NA,"0.106","349638000",NA,2023,NA,"0.077","0.077","26.0",NA,"0.0945","1135500000","0.082",NA,NA,NA,"Plan covers state and local employees","6295296000",NA
"21",2001,"Alabama Teachers' Retirement System (TRS)","Alabama","-0.0605",NA,"Entry Age Normal","1.014","17475298000","15814533000",NA,"17238616000",NA,"279880000","1",NA,NA,"Level Percent Open","-846052000","818744630","26449000","-6023000",NA,"5-year smoothed market related value.","4305080000","222649972","0.05","279880000",NA,"271003000","0.0552","2530000",NA,2004,NA,"0.08","0.08","10.0","0.045","-0.0026","510498000","0.1078",NA,NA,NA,"Plan covers teachers","-236682000",NA
"22",2002,"Alabama Teachers' Retirement System (TRS)","Alabama","-0.0781",NA,"Entry Age Normal","0.974","17904880000","14167952000",NA,"18374174000",NA,"265670000","1",NA,NA,"Level Percent Open","-893893000","886969000","35510000","-6845000",NA,"5-year smoothed market related value.","4379183000","232664824","0.05","265670000",NA,"265670000","0.0754","1937000",NA,2005,NA,"0.08","0.08","10.0","0.045","0.0163","501396000","0.1091",NA,NA,NA,"Plan covers teachers","469293000",NA
"23",2003,"Alabama Teachers' Retirement System (TRS)","Alabama","0.1598",NA,"Entry Age Normal","0.936","18110470000","15685620000",NA,"19357735000",NA,"235786000","1",NA,NA,"Level Percent Open","-964771000","1027877000","25876000","-7011000",NA,"5-year smoothed market related value.","4632611000","244342437","0.05","235786000",NA,"235786000","0.0944","2022000",NA,2006,NA,"0.08","0.08","10.0","0.045","0.0352","487804000","0.1092",NA,NA,NA,"Plan covers teachers","1247265000",NA
"24",2004,"Alabama Teachers' Retirement System (TRS)","Alabama","0.1071",NA,"Entry Age Normal","0.896","18704008000","16853149000",NA,"20886190000",NA,"312474000","1",NA,NA,"Level Percent Open","-1023744000","1144626800","32084000","-7361000",NA,"5-year smoothed market related value.","4846677000","321245683","0.05","312474000",NA,"235786000","0.0936","2146000",NA,2007,NA,"0.08","0.08","20.0","0.045","0.035","566334000","0.1086",NA,NA,NA,"Plan covers teachers","2182181000",NA
"25",2005,"Alabama Teachers' Retirement System (TRS)","Alabama","0.1126",NA,"Entry Age Normal","0.836","19248208000","18168523000",NA,"23027338000",NA,"347862000","1",NA,NA,"Level Percent Open","-1129073000","1210649100","35983000","-10372000",NA,"5-year smoothed market related value.","5326408000","262856154","0.05","347862000",NA,"312474000","0.1106","2707000",NA,2008,NA,"0.08","0.08","20.0","0.045","0.053","610718000","0.1076",NA,NA,NA,"Plan covers teachers","3779131000",NA
"26",2006,"Alabama Teachers' Retirement System (TRS)","Alabama","0.0882",NA,"Entry Age Normal","0.828","19821132000","19207803000",NA,"23945100000",NA,"434195000","1",NA,NA,"Level Percent Open","-1243934000","1399366600","36350000","-11325000",NA,"5-year smoothed market related value.","5458443000","281455579","0.05","434195000",NA,"347863000","0.1207","3235000",NA,2009,NA,"0.08","0.08","20.0","0.045","0.0562","715650000","0.1145",NA,NA,NA,"Plan covers teachers","4123967000",NA
"27",2007,"Alabama Teachers' Retirement System (TRS)","Alabama","0.1746",NA,"Entry Age Normal","0.795","20650916000","21918750000",NA,"25971534000",NA,"540847000","1",NA,NA,"Level Percent Open","-1435282000","1465133300","37474000","-9614000",NA,"5-year smoothed market related value.","6310616000","305085899","0.05","540847000",NA,"540847000","0.1251","2814000",NA,2010,NA,"0.08","0.08","20.0","0.045","0.0623","845933000","0.1128",NA,NA,NA,"Plan covers teachers","5320618000",NA
"28",2008,"Alabama Teachers' Retirement System (TRS)","Alabama","-0.1536",NA,"Entry Age Normal","0.776","20812476000","18100387000",NA,"26804117000",NA,"729995000","1",NA,NA,"Level Percent Open","-1524188000","1531056000","37317000","-12216000",NA,"5-year smoothed market related value.","6294341000","327004024","0.05","729995000",NA,"729995000","0.1338","3182000",NA,2011,NA,"0.08","0.08","20.0","0.045","0.0699","1056999000","0.1139",NA,NA,NA,"Plan covers teachers","5991640000",NA
"29",2009,"Alabama Teachers' Retirement System (TRS)","Alabama","-0.0794",NA,"Entry Age Normal","0.747","20582348000","16120988000",NA,"27537400000",NA,"753518000","1",NA,NA,"Level Percent Open","-1554597000","1601275600","42337000","-11005000",NA,"5-year smoothed market related value.","6236922000","323706850","0.05","753518000",NA,"753487000","0.1275","2606000",NA,2012,NA,"0.08","0.08","30.0","0.045","0.0633","1077224000","0.1142",NA,NA,NA,"Plan covers teachers","6955052000",NA
"30",2010,"Alabama Teachers' Retirement System (TRS)","Alabama","0.0842",NA,"Entry Age Normal","0.711","20132780000","17037673000",NA,"28299523000",NA,"776421000","1",NA,NA,"Level Percent Open","-1611418000","1679430900","30596000","-11979000",NA,"5-year smoothed market related value.","6183204000","321402984","0.05","776421000",NA,"758775000","0.1116","1633000",NA,2013,NA,"0.08","0.08","30.0","0.045","0.0722","1097824000","0.0894",NA,NA,NA,"Plan covers teachers","8166744000",NA
"31",2011,"Alabama Teachers' Retirement System (TRS)","Alabama","0.0181",NA,"Entry Age Normal","0.675","19430136000","16752218000",NA,"28776316000",NA,"779644000","1",NA,NA,"Level Percent Open","-1723185000","1760247300","49304000","-10820000",NA,"5-year smoothed market related value.","6159562000","323195572","0.0725","779644000",NA,"0","0.1171","2059000",NA,2014,NA,"0.08","0.08","30.0","0.0325","0.0958","1102840000","0.0938",NA,NA,NA,"Plan covers teachers","9346181000","0.0325"
"32",2012,"Alabama Teachers' Retirement System (TRS)","Alabama","0.183",NA,"Entry Age Normal","0.665","18786008000","18950126000","18786008955","28251367000",NA,"618306000","1",NA,NA,"Level Percent Open","-1850258000","1818998900","40746000","-11555000",NA,"Market Value.","6222316000","458534360","0.075","618306000",NA,"618309000","0.1171","2016000",NA,2015,NA,"0.08","0.08","30.0","0.0325","0.1018","1076840000","0.0903",NA,NA,NA,"Plan covers teachers","9465359000","0.0325"
"33",2013,"Alabama Teachers' Retirement System (TRS)","Alabama","0.1493",NA,"Entry Age Normal","0.662","19629816000","20820372000","20641739259","29665843000",NA,"627892000","1",NA,NA,"Level Percent Closed","-1949212000","1871441400","55891000","-12591000",NA,"5- market related value","6263364000","477586262","0.07437","627892000",NA,"627892000","0.11894","3345000",NA,2016,NA,"0.08","0.08","29.0","0.0325","0.101","1105478000","0.0923",NA,NA,NA,"Plan covers teachers","10036027000","0.0325"
"34",2014,"Alabama Teachers' Retirement System (TRS)","Alabama","0.1213",NA,"Entry Age Normal","0.675","20809872000","22441307000","22253817957","30837829000","31338446000","716753000","1.0",NA,NA,"Level Percent Closed","-2052294000","1927711900","54699000","-13103000",NA,"5- market related value","6335161000","480848671","0.07376","739547000",NA,"739547000","0.11912","3549000",NA,2017,NA,"0.08","0.08","29.0","0.0325","0.1001","1220396000","0.09277",NA,NA,NA,"Plan covers teachers","10027958000","0.0325"
"35",2015,"Alabama Teachers' Retirement System (TRS)","Alabama","0.0104",NA,"Entry Age Normal","0.683","21740280000","21747731000","21574652720","31844843000","32213446000","737677000","1.0",NA,NA,"Level Percent Closed","-2133362000","1991149800","57970000","-15074000",NA,"5- market related value","6350786000","477917619","0.0731","737671000",NA,"737671000","0.12085","4015000",NA,2018,NA,"0.08","0.08","29.0","0.0325","0.0981","1215589000","0.09585",NA,NA,NA,"Plan covers teachers","10104563000","0.0325"
"36",2016,"Alabama Teachers' Retirement System (TRS)","Alabama","0.1041",NA,"Entry Age Normal","0.683","22645512000","22936298000","22758953967","33143834000","33762303000","751909000","1.0",NA,NA,"Level Percent Closed","-2212914000","2053762300","63353000","-14873000",NA,"5-year smoothed market related value.","6430999000","475980267","0.07251","751902000",NA,"751902000","0.12234","3590000",NA,2019,NA,"0.07875","0.0775","29.0","0.03125","0.1021","1227882000","0.09275",NA,NA,NA,"Plan covers teachers","10498322000","0.03125"
"37",2017,"Alabama Teachers' Retirement System (TRS)","Alabama","0.1177",NA,"Entry Age Normal","0.689","23887076000","24651457000","24467517906","34688078000","34479936000","782702000","1.0",NA,NA,"Level Percent Closed","-2167464000","2118982500","57130000","-16390000",NA,"5-year smoothed market related value.","6698835000","489637845","0.07196","782695000",NA,NA,"0.12209","3096000",NA,2020,NA,"0.0775","0.0775","28.0","0.03","0.1015","1272333000","0.09255",NA,NA,NA,"Plan covers teachers","10801001000","0.03"
"38",2018,"Alabama Teachers' Retirement System (TRS)","Alabama","0.0942",NA,"Entry Age Normal","0.702","25006420000","25935433000","25756495073","35628398000","35878014000","802598000","1.0",NA,NA,"Level Percent Closed","-2262569000","2191704800","55634000","-15952000",NA,"5-year smoothed market related value.","6756474000","493466175","0.07137","802598000",NA,"0","0.12084","29663000",NA,2021,NA,"0.077","0.077","28.0","0.03","0.09355","1320764000","0.09866",NA,NA,NA,"Plan covers teachers","10621979000",NA
"39",2019,"Alabama Teachers' Retirement System (TRS)","Alabama","0.0263",NA,"Entry Age Normal","0.694","25821326000","25619448000",NA,"37215470000","36676350000","869336000","1.0",NA,NA,"Level Percent Closed","-2290375000","2266860000","58538000","-20583000",NA,"5-year smoothed market related value.","7193832000","522908600","0.0708","869336000",NA,NA,"0.12119","6234000",NA,2022,NA,"0.077","0.077","27.0",NA,"0.1008","1392245000","0.09118",NA,NA,NA,"Plan covers teachers","11394144000",NA
"40",2020,"Alabama Teachers' Retirement System (TRS)","Alabama","0.0562",NA,"Entry Age Normal","0.707","26681234000","25946389000",NA,"37752800000","38316039000","862475000","1.0",NA,NA,"Level Percent Closed","-2389493000","2350717300","56861000","-21957000",NA,"5-year smoothed market related value.","7019258000","515002973","0.07036","862475000",NA,NA,"0.12234","4787000",NA,2023,NA,"0.077","0.077","27.0",NA,"0.1018","1378080000","0.09091",NA,NA,NA,"Plan covers teachers","11071566000",NA
"41",2001,"Alaska Public Employees Retirement System","Alaska","-0.0557","0.0825","Projected Unit Credit","1.009","5579440000","5796189000",NA,"5528026000",NA,"65151000","1.053",NA,NA,"Level Dollar Open","-259771000","268325720","-9339000","-3322000",NA,"no asset gain or loss for the fiscal year is recognized if the expected actuarial value of assets plus (minus) the outstanding balance of previously amortized amounts are within a 5% corridor of the market value of assets. Any amount outside this 5% corri","1208700000","67537000","0.0683","68604000",NA,"41018000","0.10878",NA,NA,2004,NA,"0.0825","0.0825","25.0",NA,"0.06284","136141000","0.11424","155412000",NA,NA,"Plan covers state and local employees","-51414000","0.035"
"42",2002,"Alaska Public Employees Retirement System","Alaska","-0.0569","0.0825","Projected Unit Credit","0.752","4611170000","5323757000",NA,"6133182000",NA,"65485000","1.029",NA,NA,"Level Percent Fixed","-279731000","293137030","-9150000","-3756000",NA,"5-year smoothed market. 20% Corridor.","1245054000","71558000","0.0683","67385000",NA,"40289000","0.24912",NA,NA,2005,NA,"0.0825","0.0825","25.0",NA,"0.19896","138943000","0.11846","166161000",NA,NA,"Plan covers state and local employees","1522012000","0.035"
"43",2003,"Alaska Public Employees Retirement System","Alaska","0.0318","0.0825","Projected Unit Credit","0.728","4607673000","5318390000",NA,"6330541000",NA,"63283000","1.103",NA,NA,"Level Percent Fixed","-307684000","318487690","-9165000","-4138000",NA,"5-year smoothed market. 20% Corridor.","1300041000","78889000","0.0681","69801000",NA,"57759000","0.24831",NA,NA,2006,NA,"0.0825","0.0825","25.0",NA,"0.20272","148690000","0.1137","166085000",NA,NA,"Plan covers state and local employees","1722868000","0.035"
"44",2004,"Alaska Public Employees Retirement System","Alaska","0.146","0.0825","Projected Unit Credit","0.702","4709592000","5880443000",NA,"6711507000",NA,"74178000","1",NA,NA,"Level Percent Fixed","-329390000","344780340","-10344000","-3721000",NA,"5-year smoothed market. 20% Corridor.","1305670000","83290000","0.0681","74178000",NA,"64097000","0.28188",NA,NA,2007,NA,"0.0825","0.0825","25.0",NA,"0.23796","157468000","0.11202","165004000",NA,NA,"Plan covers state and local employees","2001915000","0.035"
"45",2005,"Alaska Public Employees Retirement System","Alaska","0.0855","0.0825","Projected Unit Credit","0.657","4658413000","6122064000",NA,"7087191000",NA,"210147000","0.527",NA,NA,"Level Percent Fixed","-357763000","371908720","-10318000","-3114000",NA,"5-year smoothed market. 20% Corridor.","1404043000","71312000","0.0684","110853000",NA,"67620000","0.32512",NA,NA,2008,NA,"0.0825","0.0825","25.0","0.0425","0.27934","182165000","0.11418","181187000",NA,NA,"Plan covers state and local employees","2428778000",NA
"46",2006,"Alaska Public Employees Retirement System","Alaska","0.114","0.0825","Entry Age Normal","0.782","6331065000","6568150000",NA,"8094043000",NA,"249488000","0.654",NA,NA,"Level Percent Fixed","-381672000","400262660","-8429000","-3477000",NA,"5-year smoothed market. 20% Corridor.","1590693000","71666000","0.0684","152198000",NA,"135231000","0.10906",NA,NA,2009,NA,"0.0825","0.0825","25.0","0.04","0.07086","234909000","0.1066","178660000",NA,NA,"Plan covers state and local employees","1762978000","0.035"
"47",2007,"Alaska Public Employees Retirement System","Alaska","0.185","0.116","Entry Age Normal","0.778","6739004000","7439387000",NA,"8662324000",NA,"268742000","0.773",NA,NA,"Level Dollar Fixed","-410545000","428296160","-8575000","-3663000",NA,"5-year smoothed market. 20% Corridor.","1605819000","71023000","0.06858","196641000",NA,"161478000","0.10943",NA,NA,2010,NA,"0.0825","0.0825","25.0","0.04","0.07831","278562000","0.0997","168420000",NA,NA,"Plan covers state and local employees","1923320000","0.035"
"48",2008,"Alaska Public Employees Retirement System","Alaska","-0.031","0.098","Entry Age Normal","0.788","7210772000","6935808000",NA,"9154282000",NA,"140729000","1.074",NA,NA,"Level Dollar Fixed","-439123000","454571810","-14333000","-6585000",NA,"5-year smoothed market. 20% Corridor.","1577846000","120506000","0.0694","100323000",NA,"50875000","0.11321","0",NA,2011,NA,"0.0825","0.0825","25.0","0.04","0.08311","271704000","0.0995","164812000",NA,NA,"Plan covers state and local employees","1943510000","0.035"
"49",2009,"Alaska Public Employees Retirement System","Alaska","-0.245","-0.131","Entry Age Normal","0.63","6108528000","5090440000",NA,"9702086000",NA,"166016000","1.114",NA,NA,"Level Dollar Closed","-466085000","482989630","-12498000","-6568000",NA,"5-year smoothed market. 20% Corridor.","1585490000","118815000","0.06951","113059000",NA,"79681000","0.17651","0",NA,2012,NA,"0.0825","0.0825","25.0","0.04","0.14612","311555000","0.0999","166056000",NA,NA,"Plan covers state and local employees","3593558000","0.035"
"50",2010,"Alaska Public Employees Retirement System","Alaska","0.1","0.093","Entry Age Normal","0.624","6469832000","5391527000",NA,"10371672000",NA,"162177000","1.144",NA,NA,"Level Dollar Closed","-496015000","511936310","-12364000","-6365000",NA,"5-year smoothed market. 20% Corridor.","1586697000","123066000","0.06969","142157000",NA,"44460000","0.19683","0",NA,2013,NA,"0.08","0.0825","25.0","0.0362","0.16432","309683000","0.1022","169799000",NA,NA,"Plan covers state and local employees","3901840000","0.0362"
"51",2011,"Alaska Public Employees Retirement System","Alaska","0.206","0.08","Entry Age Normal","0.619","6762149000","6267925000",NA,"10919047000",NA,"220419000","0.927",NA,NA,"Level Dollar Closed","-525277000","545647880","-11923000","-6744000",NA,"5-year smoothed market. 20% Corridor.","1559938000","116270000","0.06967","139075000",NA,"65187000","0.22239","0",NA,2014,NA,"0.08","0.08","25.0","0.0362","0.18476","320532000","0.1073","172968000",NA,NA,"Plan covers state and local employees","4156898000","0.0362"
"52",2012,"Alaska Public Employees Retirement System","Alaska","-0.001","-0.013","Entry Age Normal","0.571","6530421000","6118294000","6118294000","11428944000",NA,"351674000","0.892",NA,NA,"Level Dollar Closed","-559977000","583928380","-10906000","-6743000",NA,"5-year smoothed market. 20% Corridor.","1522399000","112703000","0.06982","182695000",NA,"130912000","0.33245","0",NA,2015,NA,"0.08","0.08","25.0","0.0362","0.29576","426310000","0.1065","167203000",NA,NA,"Plan covers state and local employees","4898523000","0.0362"
"53",2013,"Alaska Public Employees Retirement System","Alaska","0.12","0.021","Entry Age Normal","0.545","6510749000","6694482000","6694482000","11945881000",NA,"382889000","0.8985972435875672",NA,NA,"Level Dollar Closed","-599318000","507107690","-10929000","-7120000",NA,"5-year smoothed market. 20% Corridor.","1534665000","110808000","0.06977","179976000",NA,"271455000","0.38008","0",NA,2016,NA,"0.08","0.08","25.0","0.0362","0.34366","454871000","0.1062","160828000",NA,NA,"Plan covers state and local employees","5435132000","0.0362"
"54",2014,"Alaska Public Employees Retirement System","Alaska","0.181","0.215","Entry Age Normal","0.597","7731438000","7731438000","7731438000","12947759000","12395576452","358718000","1.06769",NA,NA,"Level Percent Closed","-640518000","542842190","-11399000","-8223000",NA,"5-year smoothed market. 20% Corridor.","1405198000","106565000","0.06918","206204000",NA,"300922000","0.29394","0",NA,2017,NA,"0.08","0.08","25.0","0.0362","0.23232","489563000","0.1308","184712000",NA,NA,"Plan covers state and local employees","5216321000","0.0362"
"55",2015,"Alaska Public Employees Retirement System","Alaska","0.031","0.071","Entry Age Normal","0.67","8931160000","8606862000","8606862000","13337929000","13456876000","529264000","2.31668",NA,NA,"Level Percent Closed","-686493000","574752560","-10049000","-7553000",NA,"5-year smoothed market","1412237000","100036000","0.06914","226136000",NA,"1135175000","0.27562","0",NA,2018,NA,"0.08","0.08","25.0","0.0362","0.21456","1326172000","0.1302","172304000",NA,NA,"Plan covers state and local employees","4406769000","0.0362"
