dcplanid,state,planname,fy,year_est,ppd_id,planname_db,primary,cashbalance,hybrid,mandatory_default,plantype,eligible_eegroups,actives,inactives,members_total,assets,investmentoptions,eq_avg,ee_contrate_mandatory,ee_contrate_max,ee_contrate_verbatim,er_contrate_matchrate,er_contrate_fixedrate,er_contrate_verbatim,conts_ee,conts_er,coveredpayroll,er_contrate_match,er_contrate_fixed,Column1
3,AZ,Arizona Public Safety Personnel Defined Contribution Retirement Plan (PSPDCRP),2020,2017,5,Arizona Public Safety,1,,1,1,401(a),"Employees who became a member on or after July 1, 2017 and chose the DC plan. Also, corrections and detention officers hired on or after July 1, 2018 who work in state prisons, county jails, and municipalities will receive retirement benefits through PSPDCRP. They are no longer eligible for the DB Corrections Officer Retirement Plan. ",,,,,,,.09,,,,.09,,956,956.428,9353,,,1
4,CA,California CalSTRS – DB Supplement Program,2015,2001,10,California Teachers,1,1,1,1,,"All members of the CalSTRS DB Program who perform creditable service and earn creditable compensation after December 31, 2000.",388314,,443215,10941000,,,.08,,,,.08,,,,29306186,,,
4,CA,California CalSTRS – DB Supplement Program,2016,2001,10,California Teachers,1,1,1,1,,"All members of the CalSTRS DB Program who perform creditable service and earn creditable compensation after December 31, 2000.",391636,,450711,10943000,,,.08,,,,.08,,,,31253255,,,
4,CA,California CalSTRS – DB Supplement Program,2017,2001,10,California Teachers,1,1,1,1,,"All members of the CalSTRS DB Program who perform creditable service and earn creditable compensation after December 31, 2000.",394923,,458576,12269382,,,.08,,,,.08,,,,32653005,,,
4,CA,California CalSTRS – DB Supplement Program,2018,2001,10,California Teachers,1,1,1,1,,"All members of the CalSTRS DB Program who perform creditable service and earn creditable compensation after December 31, 2000.",449595,,517513,13173522,,,.08,,,,.08,,,,31884303,,,
4,CA,California CalSTRS – DB Supplement Program,2019,2001,10,California Teachers,1,1,1,1,,"All members of the CalSTRS DB Program who perform creditable service and earn creditable compensation after December 31, 2000.",451429,,522837,13904497,,,,,"Member contributions of either 8% (CalSTRS 2% at 60 members), or 9% (CalSTRS 2% at 62 members)",,.08,,,,32896687,,,
5,CO,Colorado Fire and Police-Statewide Hybrid Plan,2015,2004,13,Colorado Municipal,1,,1,1,401(k),"The hybrid plan became effective January 1, 2004 and provides retirement benefits to the members of those employers who have either (1) established a local money purchase plan or (2) withdrawn into the Statewide Money Purchase Plan and subsequently elected to participate in the Statewide Hybrid Plan.",368,200,568,358444,,,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,40873,3146.176,,,,
5,CO,Colorado Fire and Police-Statewide Hybrid Plan,2016,2004,13,Colorado Municipal,1,,1,1,401(k),"The hybrid plan became effective January 1, 2004 and provides retirement benefits to the members of those employers who have either (1) established a local money purchase plan or (2) withdrawn into the Statewide Money Purchase Plan and subsequently elected to participate in the Statewide Hybrid Plan.",353,211,564,376797,,,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,41964,3216.216,,,,
5,CO,Colorado Fire and Police-Statewide Hybrid Plan,2017,2004,13,Colorado Municipal,1,,1,1,401(k),"The hybrid plan became effective January 1, 2004 and provides retirement benefits to the members of those employers who have either (1) established a local money purchase plan or (2) withdrawn into the Statewide Money Purchase Plan and subsequently elected to participate in the Statewide Hybrid Plan.",377,216,593,452301,,,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,44085,3448.618,,,,
5,CO,Colorado Fire and Police-Statewide Hybrid Plan,2018,2004,13,Colorado Municipal,1,,1,1,401(k),"The hybrid plan became effective January 1, 2004 and provides retirement benefits to the members of those employers who have either (1) established a local money purchase plan or (2) withdrawn into the Statewide Money Purchase Plan and subsequently elected to participate in the Statewide Hybrid Plan.",386,173,559,431811,,,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,50410,3719.55,,,,
5,CO,Colorado Fire and Police-Statewide Hybrid Plan,2019,2004,13,Colorado Municipal,1,,1,1,401(k),"The hybrid plan became effective January 1, 2004 and provides retirement benefits to the members of those employers who have either (1) established a local money purchase plan or (2) withdrawn into the Statewide Money Purchase Plan and subsequently elected to participate in the Statewide Hybrid Plan.",406,333,739,,,,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,,,Minimum of 8% contribution to the DB portion. Actual rate to the DB component determined annually; any excess contributions fund the DC portion.,,,,,,
5,CO,Colorado Fire and Police-Statewide Hybrid Plan,2020,2004,13,Colorado Municipal,1,,1,1,401(k),"The hybrid plan became effective January 1, 2004 and provides retirement benefits to the members of those employers who have either (1) established a local money purchase plan or (2) withdrawn into the Statewide Money Purchase Plan and subsequently elected to participate in the Statewide Hybrid Plan.",,,,,,,,,,,,,,,,,,1
7,FL,Florida FRS Investment Plan,2015,2002,26,Florida RS,1,,,0,401(a),All FRS employees are eligible for the Investment Plan except: (1) participants in the Deferred Retirement Option Plan (DROP); (2) Mandatory State University System Optional Retirement Program members; and (3) Teachers Retirement System members.,112325,,163456,9140000,21,,.03,,,,,Varies by employee class; matches contributions to the DB plan.,,,4804088,,,
7,FL,Florida FRS Investment Plan,2016,2002,26,Florida RS,1,,,0,401(a),All FRS employees are eligible for the Investment Plan except: (1) participants in the Deferred Retirement Option Plan (DROP); (2) Mandatory State University System Optional Retirement Program members; and (3) Teachers Retirement System members.,114434,,169576,8910000,21,,.03,,,,,Varies by employee class; matches contributions to the DB plan.,,,4987114,,,
7,FL,Florida FRS Investment Plan,2017,2002,26,Florida RS,1,,,0,401(a),All FRS employees are eligible for the Investment Plan except: (1) participants in the Deferred Retirement Option Plan (DROP); (2) Mandatory State University System Optional Retirement Program members; and (3) Teachers Retirement System members.,117629,,177218,9970000,21,,.03,,,,,Varies by employee class; matches contributions to the DB plan.,,,5393068,,,
7,FL,Florida FRS Investment Plan,2018,2002,26,Florida RS,1,,,0,401(a),All FRS employees are eligible for the Investment Plan except: (1) participants in the Deferred Retirement Option Plan (DROP); (2) Mandatory State University System Optional Retirement Program members; and (3) Teachers Retirement System members.,124788,,190664,10830000,22,,.03,,,,,Varies by employee class; matches contributions to the DB plan.,,,7780672,,,
7,FL,Florida FRS Investment Plan,2019,2002,26,Florida RS,1,,,0,401(a),All FRS employees are eligible for the Investment Plan except: (1) participants in the Deferred Retirement Option Plan (DROP); (2) Mandatory State University System Optional Retirement Program members; and (3) Teachers Retirement System members.,145796,,213664,11240000,22,,.03,,,,,Varies by employee class; matches contributions to the DB plan.,,,8654561,,,
7,FL,Florida FRS Investment Plan,2020,2002,26,Florida RS,1,,,0,401(a),All FRS employees are eligible for the Investment Plan except: (1) participants in the Deferred Retirement Option Plan (DROP); (2) Mandatory State University System Optional Retirement Program members; and (3) Teachers Retirement System members.,,,,,,,,,,,,,,,,,,1
8,GA,Georgia ERS - GSEPS,2015,2009,27,Georgia ERS,1,,1,1,401(k),"Effective January 1, 2009, new state employees and rehired state employees who did not retain membership rights under the Old or New Plans are members of GSEPS. ERS members hired prior to January 1, 2009 also have the option to irrevocably change their membership to GSEPS. ",25669,,,626461,,,.0125,,,,,Match: 100% of employee's initial 1% contribution; 50% on contributions from 1% to 5%; total match of 3% of salary.,64870,25615,,,,
8,GA,Georgia ERS - GSEPS,2016,2009,27,Georgia ERS,1,,1,1,401(k),"Effective January 1, 2009, new state employees and rehired state employees who did not retain membership rights under the Old or New Plans are members of GSEPS. ERS members hired prior to January 1, 2009 also have the option to irrevocably change their membership to GSEPS. ",28095,,,695346,,,.0125,,,,,Match: 100% of employee's initial 1% contribution; 50% on contributions from 1% to 5%; total match of 3% of salary.,79422,29982,,,,
8,GA,Georgia ERS - GSEPS,2017,2009,27,Georgia ERS,1,,1,1,401(k),"Effective January 1, 2009, new state employees and rehired state employees who did not retain membership rights under the Old or New Plans are members of GSEPS. ERS members hired prior to January 1, 2009 also have the option to irrevocably change their membership to GSEPS. ",32261,,,857396,,,.0125,,,,,Match: 100% of employee's initial 1% contribution; 50% on contributions from 1% to 5%; total match of 3% of salary.,93608,36761,,,,
8,GA,Georgia ERS - GSEPS,2018,2009,27,Georgia ERS,1,,1,1,401(k),"Effective January 1, 2009, new state employees and rehired state employees who did not retain membership rights under the Old or New Plans are members of GSEPS. ERS members hired prior to January 1, 2009 also have the option to irrevocably change their membership to GSEPS. ",34501,,,992350,,,.0125,,,,,Match: 100% of employee's initial 1% contribution; 50% on contributions from 1% to 5%; total match of 3% of salary.,110848,43176,,,,
8,GA,Georgia ERS - GSEPS,2019,2009,27,Georgia ERS,1,,1,1,401(k),"Effective January 1, 2009, new state employees and rehired state employees who did not retain membership rights under the Old or New Plans are members of GSEPS. ERS members hired prior to January 1, 2009 also have the option to irrevocably change their membership to GSEPS. ",35988,,,1163937,,,.0125,,,,,Match: 100% of employee's initial 1% contribution; 50% on contributions from 1% to 5%; total match of 3% of salary.,119770,47170,1426339,,,
8,GA,Georgia ERS - GSEPS,2020,2009,27,Georgia ERS,1,,1,1,401(k),"Effective January 1, 2009, new state employees and rehired state employees who did not retain membership rights under the Old or New Plans are members of GSEPS. ERS members hired prior to January 1, 2009 also have the option to irrevocably change their membership to GSEPS. ",36180,,,1290050,,,.0125,,,,,Match: 100% of employee's initial 1% contribution; 50% on contributions from 1% to 5%; total match of 3% of salary.,129639,51138,,,,1
9,IL,Illinois SURS-Self-Managed Plan,2015,1998,35,Illinois Universities,1,,,0,401(a),All SURS employees may elect to participate in the Self-Managed Plan.,11928,8476,20836,1753554,,1,.08,,,,.076,,72328,62333.49099999999,,,,
9,IL,Illinois SURS-Self-Managed Plan,2016,1998,35,Illinois Universities,1,,,0,401(a),All SURS employees may elect to participate in the Self-Managed Plan.,11880,9041,21478,1825506,27,1,.08,,,,.076,,76457,65369.63499999999,,,,
9,IL,Illinois SURS-Self-Managed Plan,2017,1998,35,Illinois Universities,1,,,0,401(a),All SURS employees may elect to participate in the Self-Managed Plan.,11852,9503,21888,2170251,27,1,.08,,,,.076,,85217,66916.83500000001,,,,
9,IL,Illinois SURS-Self-Managed Plan,2018,1998,35,Illinois Universities,1,,,0,401(a),All SURS employees may elect to participate in the Self-Managed Plan.,12106,9759,22604,2500452,27,1,.08,,,,.076,,84219,69432.151,,,,
9,IL,Illinois SURS-Self-Managed Plan,2019,1998,35,Illinois Universities,1,,,0,401(a),All SURS employees may elect to participate in the Self-Managed Plan.,12531,10033,23435,2729607,30,1,.08,,,,.076,,88571,71233.344,,,,
9,IL,Illinois SURS-Self-Managed Plan,2020,1998,35,Illinois Universities,1,,,0,401(a),All SURS employees may elect to participate in the Self-Managed Plan.,13129,10280,24416,3023127,30,1,.08,,,,.076,,95728,78253.10799999999,,,,1
10,IN,Indiana PERF – ASA,2015,1997,36,Indiana PERF,1,,1,1,401(a),All PERF members participate in the Annuities Savings Account (ASA).,,,288342,2717173,,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
10,IN,Indiana PERF – ASA,2016,1997,36,Indiana PERF,1,,1,1,401(a),All PERF members participate in the Annuities Savings Account (ASA).,,,294280,2656892,10,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
10,IN,Indiana PERF – ASA,2017,1997,36,Indiana PERF,1,,1,1,401(a),All PERF members participate in the Annuities Savings Account (ASA).,,,301167,2770962,8,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
10,IN,Indiana PERF – ASA,2018,1997,36,Indiana PERF,1,,1,1,401(a),All PERF members participate in the Annuities Savings Account (ASA).,,,252095,,8,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
10,IN,Indiana PERF – ASA,2019,1997,36,Indiana PERF,1,,1,1,401(a),All PERF members participate in the Annuities Savings Account (ASA).,,,252093,,8,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
11,IN,Indiana TRF – ASA,2015,1997,37,Indiana Teachers,1,,1,1,401(a),All TRF members participate in the Annuities Savings Account (ASA).,,,,1421455,,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
11,IN,Indiana TRF – ASA,2016,1997,37,Indiana Teachers,1,,1,1,401(a),All TRF members participate in the Annuities Savings Account (ASA).,,,,1265128,,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
11,IN,Indiana TRF – ASA,2017,1997,37,Indiana Teachers,1,,1,1,401(a),All TRF members participate in the Annuities Savings Account (ASA).,,,,1242230,,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
11,IN,Indiana TRF – ASA,2018,1997,37,Indiana Teachers,1,,1,1,401(a),All TRF members participate in the Annuities Savings Account (ASA).,,,,,,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
11,IN,Indiana TRF – ASA,2019,1997,37,Indiana Teachers,1,,1,1,401(a),All TRF members participate in the Annuities Savings Account (ASA).,,,,,,,.03,.1,,,,"Employers have the option of making all or part of the employee contribution on behalf of the member.In accordance with IC 5-10.3-12-24, the amount credited from the employer’s contribution rate to the member’s account shall not be less than 3 percent and not be greater than the normal cost of the fund",,,,,,
12,IN,Indiana PERF – ASA Only,2015,2013,36,Indiana PERF,1,,,0,401(a),All PERF members can choose to participate in the ASA-only/My Choice Plan.,371,,,,,,.03,,,,,A percentage of salary set by the Board,,,,,,
12,IN,Indiana PERF – ASA Only,2016,2013,36,Indiana PERF,1,,,0,401(a),All PERF members can choose to participate in the ASA-only/My Choice Plan.,724,,,,,,.03,,,,,A percentage of salary set by the Board,,,,,,
12,IN,Indiana PERF – My Choice,2017,2013,36,Indiana PERF,1,,,0,401(a),All PERF members can choose to participate in the ASA-only/My Choice Plan.,1136,,,,,,.03,,,,,A percentage of salary set by the Board,,,,,,
12,IN,Indiana PERF – My Choice,2018,2013,36,Indiana PERF,1,,,0,401(a),All PERF members can choose to participate in the ASA-only/My Choice Plan.,,,,,,,.03,,,,,A percentage of salary set by the Board,,,,,,
12,IN,Indiana PERF – My Choice,2019,2013,36,Indiana PERF,1,,,0,401(a),All PERF members can choose to participate in the ASA-only/My Choice Plan.,,,,,,,.03,,,,,A percentage of salary set by the Board,,,,,,
13,IN,Indiana TRF – My Choice,2016,2013,37,Indiana Teachers,1,,,0,401(a),All TRF members can choose to participate in the ASA-only/My Choice Plan.,,,,,,,,,,,,,,,,,,
13,IN,Indiana TRF – My Choice,2017,2013,37,Indiana Teachers,1,,,0,401(a),All TRF members can choose to participate in the ASA-only/My Choice Plan.,,,,,,,,,,,,,,,,,,
13,IN,Indiana TRF – My Choice,2018,2013,37,Indiana Teachers,1,,,0,401(a),All TRF members can choose to participate in the ASA-only/My Choice Plan.,,,,,,,,,,,,,,,,,,
13,IN,Indiana TRF – My Choice,2019,2013,37,Indiana Teachers,1,,,0,401(a),All TRF members can choose to participate in the ASA-only/My Choice Plan.,,,,,,,,,,,,,,,,,,
14,KS,Kansas KPERS -- KPERS 3 Cash Balance,2015,2015,39,Kansas PERS,1,1,,1,,"Employees hired on or after January 1, 2015, are automatically enrolled in the KPERS 3 Cash Balance plan.",,,,,,,.06,,,,,Actuarially determined rates,,,,,,
14,KS,Kansas KPERS -- KPERS 3 Cash Balance,2016,2015,39,Kansas PERS,1,1,,1,,"Employees hired on or after January 1, 2015, are automatically enrolled in the KPERS 3 Cash Balance plan.",16125,,,,,,.06,,,,,Actuarially determined rates,,,,,,
14,KS,Kansas KPERS -- KPERS 3 Cash Balance,2017,2015,39,Kansas PERS,1,1,,1,,"Employees hired on or after January 1, 2015, are automatically enrolled in the KPERS 3 Cash Balance plan.",28511,,,,,,.06,,,,,Actuarially determined rates,,,,,,
14,KS,Kansas KPERS -- KPERS 3 Cash Balance,2018,2015,39,Kansas PERS,1,1,,1,,"Employees hired on or after January 1, 2015, are automatically enrolled in the KPERS 3 Cash Balance plan.",38752,,,,,,.06,,,,,Actuarially determined rates,,,,,,
14,KS,Kansas KPERS -- KPERS 3 Cash Balance,2019,2015,39,Kansas PERS,1,1,,1,,"Employees hired on or after January 1, 2015, are automatically enrolled in the KPERS 3 Cash Balance plan.",48621,,,,,,.06,,,,,Actuarially determined rates,,,,,,
14,KS,Kansas KPERS -- KPERS 3 Cash Balance,2020,2015,39,Kansas PERS,1,1,,1,,"Employees hired on or after January 1, 2015, are automatically enrolled in the KPERS 3 Cash Balance plan.",57662,,,,,,.06,,,,,Actuarially determined rates,,,,,,1
15,KY,Kentucky RS -- Tier 3 Cash Balance,2015,2014,41,Kentucky ERS,1,1,,1,,"All regular full-time employees who began participation with KPPA on or after January 1, 2014 contribute to the Cash Balance plan.",16925,3404,20329,,,,,,5% of annual creditable compensation + (an additional 1% for insurance) for Non-Hazardous employees ; 8% for Hazardous. ,,,Actuarially determined rates,,,,,,
15,KY,Kentucky RS -- Tier 3 Cash Balance,2016,2014,41,Kentucky ERS,1,1,,1,,"All regular full-time employees who began participation with KPPA on or after January 1, 2014 contribute to the Cash Balance plan.",26927,8383,35310,,,,,,5% of annual creditable compensation + (an additional 1% for insurance) for Non-Hazardous employees ; 8% for Hazardous. ,,,Actuarially determined rates,,,,,,
15,KY,Kentucky RS -- Tier 3 Cash Balance,2017,2014,41,Kentucky ERS,1,1,,1,,"All regular full-time employees who began participation with KPPA on or after January 1, 2014 contribute to the Cash Balance plan.",35879,13741,49620,,,,,,5% of annual creditable compensation + (an additional 1% for insurance) for Non-Hazardous employees ; 8% for Hazardous. ,,,Actuarially determined rates,,,,,,
15,KY,Kentucky RS -- Tier 3 Cash Balance,2018,2014,41,Kentucky ERS,1,1,,1,,"All regular full-time employees who began participation with KPPA on or after January 1, 2014 contribute to the Cash Balance plan.",43283,19393,62676,, ,,,,5% of annual creditable compensation + (an additional 1% for insurance) for Non-Hazardous employees ; 8% for Hazardous. ,,,Actuarially determined rates,,,,,,
15,KY,Kentucky RS -- Tier 3 Cash Balance,2019,2014,41,Kentucky ERS,1,1,,1,,"All regular full-time employees who began participation with KPPA on or after January 1, 2014 contribute to the Cash Balance plan.",49990,25739,75729,,,,,,5% of annual creditable compensation + (an additional 1% for insurance) for Non-Hazardous employees ; 8% for Hazardous. ,,,Actuarially determined rates,,,,,,
16,ME,Maine PERS-MaineSTART,2015,,46,Maine PERS,1,,,0,"401a, 403b, 457",Any Maine PERS employee whose employer offers MaineSTART may choose to participate.,,,352,27197,,,,,,,,,3166,131.589,,,,
16,ME,Maine PERS-MaineSTART,2016,,46,Maine PERS,1,,,0,"401a, 403b, 457",Any Maine PERS employee whose employer offers MaineSTART may choose to participate.,,,378,29142,,,,,,,,,3628,47.768,,,,
16,ME,Maine PERS-MaineSTART,2017,,46,Maine PERS,1,,,0,"401a, 403b, 457",Any Maine PERS employee whose employer offers MaineSTART may choose to participate.,,,376,34205,,,,,,,,,3219,560.505,,,,
16,ME,Maine PERS-MaineSTART,2018,,46,Maine PERS,1,,,0,"401a, 403b, 457",Any Maine PERS employee whose employer offers MaineSTART may choose to participate.,,,374,37969,,,,,,,,,3256,587.9059999999999,,,,
16,ME,Maine PERS-MaineSTART,2019,,46,Maine PERS,1,,,0,"401a, 403b, 457",Any Maine PERS employee whose employer offers MaineSTART may choose to participate.,,,413,41466,13,,,,,,,,3713,634.731,,,,
17,MI,Michigan SERS DC,2015,1997,54,Michigan SERS,1,,,1,401(k),"All Michigan SERS employees hired on or after March 31, 1997, participate in the DC plan. Additionally, those hired previously could choose to transfer to the DC plan.",,,46804,2900458,,,.03,,,,.04,Match: 100% match up to 3% employee contributions,165689,188896,,,,
17,MI,Michigan SERS DC,2016,1997,54,Michigan SERS,1,,,1,401(k),"All Michigan SERS employees hired on or after March 31, 1997, participate in the DC plan. Additionally, those hired previously could choose to transfer to the DC plan.",,,70947,5134207,,,.03,,,,.04,Match: 100% match up to 3% employee contributions,179820,205883,,,,
17,MI,Michigan SERS DC,2017,1997,54,Michigan SERS,1,,,1,401(k),"All Michigan SERS employees hired on or after March 31, 1997, participate in the DC plan. Additionally, those hired previously could choose to transfer to the DC plan.",,,71806,5934644,,,.03,,,,.04,Match: 100% match up to 3% employee contributions,202222,226924,,,,
17,MI,Michigan SERS DC,2018,1997,54,Michigan SERS,1,,,1,401(k),"All Michigan SERS employees hired on or after March 31, 1997, participate in the DC plan. Additionally, those hired previously could choose to transfer to the DC plan.",,,72011,6578816,,,.03,,,,.04,Match: 100% match up to 3% employee contributions,226633,260497,,,,
