year,plan_name,return_1yr,arr,mva,aal
2021,University of California Retirement System,0.303,0.0675,91826002000,97243831000
2021,"Utah Retirement Systems, Noncontributory Retirement System",0.125,0.0685,35068535000,31995892000
2021,"Utah Retirement Systems, Public Safety Retirement System",0.1746,0.0685,5105393000,4761884000
2021,Vermont State Retirement System,0.2571,0.07,2425222408,3280867677
2021,Vermont State Teachers' Retirement System,0.2664,0.07,2422793508,4142014660
2021,Virginia Retirement System,0.275,0.0675,95288645000,1.06643E+11
2021,Washington Law Enforcement Officers and Firefighters Plan 2,0.2868,0.075,19638684000,0
2021,Washington Public Employees’ Retirement System,0.2868,0.075,59063552000,0
2021,Washington School Employees Plan 2/3,0.2868,0.075,8660970000,0
2021,Washington Teachers Plan 2/3,0.2868,0.075,22784490000,0
2021,West Virginia Public Employees Retirement System,0.321,0.075,8805884000,0
2021,West Virginia Teachers’ Retirement System,0.32,0.075,9914787000,0
2021,"Wyoming Retirement System, Public Employees’ Pension Plan",0.1719,0.068,9389866647,10469787925
