,master_attribute_id,Section,master_attribute_name,attribute_column_name,priority,plan_attribute_id,data_source_name,Data Format
40,423,Actuarial Valuation,Non Investment Actuarial Experience Dollar,Non_Investment_Actuarial_Experience,100,10822,Reason,$numeric
41,424,Actuarial Valuation,Actuarial Experience Dollar,Actuarial_Experience,100,10823,Reason,$numeric
42,425,Actuarial Valuation,Legislative Changes Dollar,Legislative_Changes,100,10824,Reason,$numeric
43,426,Actuarial Valuation,Changes to Methods & Assumptions Dollar,Changes_to_Methods_&_Assumptions,100,10825,Reason,$numeric
44,427,Actuarial Valuation,Interest on Debt Dollar,Interest_on_Debt,100,10826,Reason,$numeric
45,428,Actuarial Valuation,Contribution Deficiency Dollar,Contribution_Deficiency,100,10827,Reason,$numeric
46,430,Actuarial Valuation,Multiple Discount Rates,assum_variabledr,100,10977,Reason,"Y,N"
47,431,CAFR,Actuarially Required Contribution Paid Dollar,arc_paid,100,10985,Reason,$numeric
48,432,Actuarial Valuation,Actual COLA,actual_COLA,100,10701,Reason,Percentage point
49,433,Actuarial Valuation,Minimum COLA,min_COLA,100,10702,Reason,Percentage point
50,434,Actuarial Valuation,Contribution Rate Effective FY,cont_rate_FY,100,10703,Reason,yyyy
51,435,Actuarial Valuation,"Amortization Payment, Total $ Amount",Amo_Total_Amt,100,10704,Reason,$numeric
52,436,Actuarial Valuation,Administrative Expenses - Percentage,Admin_Expense_Pct,100,10706,Reason,integer
53,437,Actuarial Valuation,Gain or loss due to changes in benefits,Benefit_Changes,100,10798,Reason,$numeric
54,438,Actuarial Valuation,Gain or loss due to changes in COLA Provisions,COLA_Gain_Loss,100,10799,Reason,$numeric
55,439,Actuarial Valuation,Gain or loss due to changes in PBI Provisions,PBI_Gain_Loss,100,10800,Reason,$numeric
56,440,Actuarial Valuation,Market Investment Return (MVA Basis),actuarial_return,100,10980,Reason,Percentage point
57,441,Actuarial Valuation,ARC as a Percent of Payroll,arcpct_payroll_reason,100,11004,Reason,integer
58,442,CAFR,ADEC as a Percent of Payroll,adec_pct_reason,100,11005,Reason,integer
59,443,GASB 68,Net Pension Liability Assuming 1% Decrease in Discount Rate,sensitivitydollar_100bpdown,100,10904,Reason,$numeric
60,444,GASB 68,Net Pension Liability Assuming 1% Increase in  Discount Rate,sensitivitydollar_100bpup,100,10906,Reason,$numeric
61,445,GASB 68,Prior Measurment Date,pmd,100,10862,Reason,mm/dd/yyyy
62,446,GASB 68,Measurment Date (MD),cmd,100,10863,Reason,mm/dd/yyyy
63,447,GASB 68,Membership Data: Retirees and Beneficiaries,gasb_retirees,100,10864,Reason,integer
64,448,GASB 68,Membership Data: Inactive Vested,gasb_inactivevest,100,10865,Reason,integer
65,449,GASB 68,Membership Data: Active,gasb_active,100,10867,Reason,integer
66,450,GASB 68,Membership Data: Total,gasb_totmembers,100,10868,Reason,integer
