plan,state,2020_return,arr,mva_billions,mva_billions_19,source
Michigan Public School Employees Retirement System (MIPSERS),Michigan,0.054,0.068,51.244,50.857,https://www.michigan.gov/documents/treasury/SMIB_Report_12-10-2020_709641_7.pdf
Michigan State Employees Retirement System (SERS),Michigan,0.053,0.067,12.046,12.228,https://www.michigan.gov/documents/treasury/SMIB_Report_12-10-2020_709641_7.pdf
Minnesota Public Employees Retirement Association (MPERA) General Employees Retirement Fund*,Minnesota,0.042,0.075,71.053,64.559,https://mn.gov/sbi/performance/MSBI%20Comprehensice%20Performance%20Report_Quarter%20Ending%20June%2030_2020.pdf
Minnesota Public Employees Retirement Association (MPERA) Police and Fire Fund*,Minnesota,0.042,0.075,71.053,64.559,https://mn.gov/sbi/performance/MSBI%20Comprehensice%20Performance%20Report_Quarter%20Ending%20June%2030_2020.pdf
Minnesota State Retirement System (MSRS) General State Employees Retirement Plan*,Minnesota,0.042,0.075,71.053,64.559,https://mn.gov/sbi/performance/MSBI%20Comprehensice%20Performance%20Report_Quarter%20Ending%20June%2030_2020.pdf
Minnesota Teachers Retirement Association (TRA)*,Minnesota,0.042,0.075,71.053,64.559,https://mn.gov/sbi/performance/MSBI%20Comprehensice%20Performance%20Report_Quarter%20Ending%20June%2030_2020.pdf
Missouri Local Government Employees Retirement System (LAGERS),Missouri,0.016,0.055,8.855,8.854,https://www.molagers.org/wp-content/uploads/2020/11/CAFR-2020-FINAL-maybe.pdf
Missouri MoDOT & Patrol Employees' Retirement System,Missouri,-0.005,0.07,2.362,2.423,https://www.mpers.org/wp-content/uploads/CAFR-FY-2020.pdf
Missouri Public Education Employee Retirement System (PEERS)*,Missouri,0.037,0.075,5.119,5.019,https://www.psrs-peers.org/docs/default-source/investments-documents/2020-cafr/investments.pdf?sfvrsn=3c5a5f0d_2
Missouri Public School Retirement System (PSRS)*,Missouri,0.037,0.075,40.71,40.594,https://www.psrs-peers.org/docs/default-source/investments-documents/2020-cafr/investments.pdf?sfvrsn=3c5a5f0d_2
Montana Public Employees' Retirement System - Defined Benefit Retirement Plan (PERS),Montana,0.0273,0.075,5.846,5.906,http://mpera.mt.gov/Portals/175/documents/Actuarial_Info/2020/2020_PERS.pdf
Montana Teachers' Retirement System (TRS),Montana,0.0272,0.077,4.168,4.22,https://trs.mt.gov/miscellaneous/PdfFiles/Information/ActuarialValuations/2020_TRSvaluation.pdf
Missouri State Employees Pension Plan (MOSERS),Missouri,0.052,0.07,8.078,8.075,https://www.mosers.org/docs/default-source/funding/annual-reports/2020-comprehensive-annual-financial-report.pdf?sfvrsn=25f8d9ae_4
Nebraska School Retirement System (NPERS),Nebraska,0.024,0.075,12.286,12.215,https://npers.ne.gov/SelfService/public/howto/publications/ActuarialReports/ActuarySchool2020.pdf
Nevada Public Employees Retirement System (NVPERS),Nevada,0.072,0.075,46.6,34.24,https://www.nvpers.org/sites/default/files/2020-08/PERS-Investment-Performance.pdf
New Hampshire Retirement System (NHRS),New Hampshire,0.011,0.073,9.054,9.171,https://www.nhrs.org/docs/default-source/investment-documents/nhrs-fy-2020-investment-returns.pdf?sfvrsn=7b560fb4_2
New Jersey Public Employees Retirement System (PERS)*,New Jersey,0.012,0.075,23.676,29.848,https://www.nj.gov/treasury/doinvest/pdf/DirectorsReport/2020/June.pdf
New Jersey Teachers' Pension & Annuity Fund (TRS)*,New Jersey,0.012,0.075,27.873107,26.967,https://sunlightpolicynj.org/covid-hits-nj-pensions-investments-earn-1-2-teachers-pension-funding-likely-down-to-25/
New Mexico Educational Retirement Board (ERB),New Mexico,-0.006,0.0725,12.8,13.5,https://www.pionline.com/pension-funds/new-mexico-educational-gives-staff-reins-manager-consultant-hirings
New Mexico Public Employees Retirement Association (PERA),New Mexico,-0.015,0.0725,14.3,15.508,https://www.pionline.com/pension-funds/new-mexico-pera-matches-benchmark-15-return-fiscal-year
New York State & Local Employees Retirement System*,New York,-0.027,0.068,168.116,182.718,https://www.osc.state.ny.us/files/retirement/resources/pdf/comprehensive-annual-financial-report-2020.pdf
New York State & Local Police & Fire Retirement System*,New York,-0.027,0.068,29.964,32.386,https://www.osc.state.ny.us/files/retirement/resources/pdf/comprehensive-annual-financial-report-2020.pdf
New York State Teachers' Retirement System (TRS),New York,0.035,0.0725,120.5,122.5,https://www.nystrs.org/NYSTRS/media/PDF/NYSTRS_Numbers.pdf
North Carolina Local Government Retirement System*,North Carolina,0.044,0.07,103.9,101.374,https://www.pionline.com/pension-funds/north-carolina-posts-44-fiscal-year-above-benchmark
North Carolina Teachers' and State Employees' Retirement System (TSERS)*,North Carolina,0.044,0.07,103.9,101.374,https://www.pionline.com/pension-funds/north-carolina-posts-44-fiscal-year-above-benchmark
North Dakota Public Employees Retirement System (PERS)**,North Dakota,0.034,0.075,3.2,3.097,https://www.rio.nd.gov/sites/www/files/documents/PDFs/SIB/Reports/investmentperformancesummary.pdf
North Dakota Teachers' Fund for Retirement (TRS)**,North Dakota,0.035,0.075,2.6,2.616,https://www.rio.nd.gov/sites/www/files/documents/PDFs/SIB/Reports/investmentperformancesummary.pdf
Ohio Police and Fire Pension Fund,Ohio,,0.08,14.98,16.515,http://www.orsc.org/Assets/Reports/1413.pdf
Ohio Public Employees Retirement System (OPERS) Traditional Defined Benefit Pension Plan,Ohio,0.02,0.072,86.2,91.122,http://www.orsc.org/Assets/Reports/1413.pdf
Ohio School Employees Retirement System (SERS),Ohio,0.03,0.075,14.518,15.437,http://www.orsc.org/Assets/Reports/1413.pdf
Ohio State Teachers Retirement System (TRS),Ohio,0.031,0.075,77.1,74.096,https://www.strsoh.org/publications/newsletters/retirees/finance.html
Oklahoma Public Employees Retirement System (PERS),Oklahoma,0.045,0.075,10.1,9.958,https://www.pionline.com/pension-funds/oklahoma-public-employees-garners-45-return-fiscal-year
Oklahoma Police Pension and Retirement System,Oklahoma,0.019,0.07,2.6,2.619,https://www.pionline.com/pension-funds/oklahoma-police-returns-19-fiscal-year
Oklahoma Teachers Retirement System (TRS),Oklahoma,0.013,0.075,17,17.28,https://www.pionline.com/pension-funds/oklahoma-teachers-returns-13-fiscal-year-below-benchmark
Oregon Public Employees Retirement System (PERS),Oregon,0.005,0.072,68.319,70.204,https://www.oregon.gov/pers/Documents/Financials/CAFR/2020-CAFR.pdf
Pennsylvania Municipal Retirement System,Pennsylvania,,,,,
Pennsylvania Public School Employees' Retirement System (PSERS),Pennsylvania,0.011,0.0725,58.734,59,https://www.media.pa.gov/pages/Public-School-Employees-Retirement-System_details.aspx?newsid=110
Pennsylvania State Employees' Retirement System (SERS),Pennsylvania,0.188,0.07,31.1,23.49,https://www.pionline.com/pension-funds/pennsylvania-state-employees-returns-188-2019
Police & Firemens Retirement System Of New Jersey (PFRS)*,New Jersey,0.012,0.075,25.2,"27.792420945	",https://www.nj.gov/treasury/doinvest/pdf/DirectorsReport/2020/June.pdf
Public Employees Retirement System of Nevada - Police and Firefighters Plan,Nevada,,,,,
Public Employees' Retirement System of Mississippi (PERS),Mississippi,0.034,0.075,28.2,28.207,https://www.pers.ms.gov/Content/InvestmentReport/investment_report.pdf
Rhode Island Employees Retirement System (ERS),Rhode Island,0.038,0.07,6.344,6.36,https://www.ai-cio.com/news/rhode-island-pension-returns-3-8-2020-hit-record-high-asset-value/
Rhode Island Municipal Employees Retirement System,Rhode Island,,,,,
South Carolina Police Officers Retirement System (PORS)*,South Carolina,-0.016,0.0725,4.816,4.73,https://peba.sc.gov/sites/default/files/pors_val_2020.pdf
South Carolina Retirement Systems (SCRS)*,South Carolina,-0.016,0.0725,30.983,27.239,https://www.rsic.sc.gov/Reporting/QuarterlyReports/PDFs/FY20-Q4.pdf
South Dakota Retirement System (RS),South Dakota,0.016,0.065,12.287,12.473,https://boardsandcommissions.sd.gov/bcuploads/Perf-SDRS%20Aug%202020.pdf
Teachers' Retirement System of Louisiana (TRSL),Louisiana,0.014,0.08,20,21.652,https://fluxconsole.com/files/item/202/95429/2020_CAFR_FINAL.pdf
"Tennessee Consolidated Retirement System, Public Employee Retirement System (LECOS)*",Tennessee,0.049,0.0725,53.4,52.1,https://treasury.tn.gov/Explore-Your-TN-Treasury/Communications/Press-Room/tennessee-consolidated-retirement-systems-fy20-investments-out-earn-pension-peers-despite-challenging-economy
"Tennessee Consolidated Retirement System, Teachers Pension Plan (TCRS)*",Tennessee,0.049,0.0725,53.4,52.1,https://treasury.tn.gov/Explore-Your-TN-Treasury/Communications/Press-Room/tennessee-consolidated-retirement-systems-fy20-investments-out-earn-pension-peers-despite-challenging-economy
Texas County and District Retirement System,Texas,,0.08,30.7,30.554,https://ers.texas.gov/about-ers/ers-investments-overview/performance
Texas Employees Retirement System (ERS),Texas,0.003,0.075,27.4,27.351,https://www.pionline.com/pension-funds/texas-employees-03-return-trails-benchmark-year
Texas Municipal Retirement System (TMRS)**,Texas,,0.0675,30,31.814,https://www.pionline.com/pension-funds/texas-municipal-returns-top-benchmarks
Texas Teacher Retirement System (TRS),Texas,0.018,0.0725,155.2,157.978,https://www.pionline.com/pension-funds/texas-teachers-1-year-return-fails-beat-its-benchmark
University of California Retirement System (UCRP),California,,,,,
"Utah Retirement Systems, Noncontributory Retirement System (URS)",Utah,,,,,
"Utah Retirement Systems, Public Safety Retirement System",Utah,,,,,
Vermont State Retirement System (VSRS)*,Vermont,0.04,0.075,4.6,3.814,https://www.vermonttreasurer.gov/sites/treasurer/files/Retirement/PDF/2020/VSERS%20Summer%202020.pdf
Vermont State Teachers' Retirement System (VSTRS)*,Vermont,0.04,0.075,4.6,3.814,https://www.vermonttreasurer.gov/sites/treasurer/files/Retirement/PDF/2020/VSERS%20Summer%202020.pdf
Virginia Retirement System (VRS),Virginia,0.014,0.0675,81.6,77.393,https://www.pionline.com/pension-funds/virginia-returns-14-fiscal-year
Washington Law Enforcement Officers' and Firefighters Retirement System (LEOFF)*,Washington,0.037,0.074,114.5,110,https://www.drs.wa.gov/wp-content/uploads/2020/10/2020-CAFR.pdf
Washington Public Employees' Retirement System (PERS)*,Washington,0.037,0.074,114.5,110,https://www.drs.wa.gov/wp-content/uploads/2020/10/2020-CAFR.pdf
Washington School Employees' Retirement System (SERS)*,Washington,0.037,0.075,114.5,110,https://www.drs.wa.gov/wp-content/uploads/2020/10/2020-CAFR.pdf
Washington Teachers Retirement System (TRS)*,Washington,0.037,0.075,114.5,110,https://www.drs.wa.gov/wp-content/uploads/2020/10/2020-CAFR.pdf
West Virginia Public Employees Retirement System (PERS),West Virginia,,,,,
West Virginia Teachers' Retirement System (TRS),West Virginia,,,,,
Wisconsin Retirement System (RS),Wisconsin,,,,,
"Wyoming Retirement System, Public Employees' Pension Plan (WRS)",Wyoming,,,,,
