plan,plan2,state,2020_return,arr,mva_billions,mva_billions_19,source
Teachers' Retirement System of Louisiana (TRSL)***,Teachers' Retirement System of Louisiana,Louisiana,0.014,0.08,21.220586,21.652,https://fluxconsole.com/files/item/202/95429/2020_CAFR_FINAL.pdf
"Tennessee Consolidated Retirement System, Public Employee Retirement System (LECOS)*","Tennessee Consolidated Retirement System, Public Employee Retirement System",Tennessee,0.049,0.0725,53.4,52.1,https://treasury.tn.gov/Explore-Your-TN-Treasury/Communications/Press-Room/tennessee-consolidated-retirement-systems-fy20-investments-out-earn-pension-peers-despite-challenging-economy
"Tennessee Consolidated Retirement System, Teachers Pension Plan (TCRS)*","Tennessee Consolidated Retirement System, Teachers Pension Plan",Tennessee,0.049,0.0725,53.4,52.1,https://treasury.tn.gov/Explore-Your-TN-Treasury/Communications/Press-Room/tennessee-consolidated-retirement-systems-fy20-investments-out-earn-pension-peers-despite-challenging-economy
Texas County and District Retirement System,Texas County and District Retirement System,Texas,-0.031,0.08,30.7,30.5538,https://ers.texas.gov/about-ers/ers-investments-overview/performance
Texas Employees Retirement System (ERS),Texas Employees Retirement System,Texas,0.0682,0.075,27.946,27.351,https://ers.texas.gov/about-ers/reports-and-studies/ers-actuarial-valuation-reports/2020-ers-actuarial-valuation-reports-december-2020.pdf
Texas Municipal Retirement System (TMRS)**,Texas Municipal Retirement System,Texas,,0.0675,30,31.814,https://www.pionline.com/pension-funds/texas-municipal-returns-top-benchmarks
Texas Teacher Retirement System (TRS),Texas Teacher Retirement System,Texas,0.071,0.0725,165.416,157.978,https://www.trs.texas.gov/TRS%20Documents/actuarial_valuation_pension_fund_2020.pdf
University of California Retirement System (UCRP),University of California Retirement System,California,0.017,0.0675,70.916241,70.278963,https://finreports.universityofcalifornia.edu/index.php?file=/19-20/annual-financial-report-retirement-report-2020.pdf
"Utah Retirement Systems, Noncontributory Retirement System (URS)","Utah Retirement Systems, Noncontributory Retirement System",Utah,0.1285,0.0695,6.20019,5.570069,https://www.urs.org/documents/byfilename/@Public%20Web%20Documents@URS@Reports@ACFR@2020_ACFR@@application@pdf/
"Utah Retirement Systems, Public Safety Retirement System","Utah Retirement Systems, Public Safety Retirement System",Utah,0.1285,0.0695,1.475317,1.768437,https://www.urs.org/documents/byfilename/@Public%20Web%20Documents@URS@Reports@ACFR@2020_ACFR@@application@pdf/
Vermont State Retirement System (VSRS)*,Vermont State Retirement System,Vermont,0.04,0.075,4.6,3.814,https://www.vermonttreasurer.gov/sites/treasurer/files/Retirement/PDF/2020/VSERS%20Summer%202020.pdf
Vermont State Teachers' Retirement System (VSTRS)*,Vermont State Teachers' Retirement System,Vermont,0.04,0.075,4.6,3.814,https://www.vermonttreasurer.gov/sites/treasurer/files/Retirement/PDF/2020/VSERS%20Summer%202020.pdf
Virginia Retirement System (VRS),Virginia Retirement System,Virginia,0.014,0.0675,81.6,77.393,https://www.pionline.com/pension-funds/virginia-returns-14-fiscal-year
Washington Law Enforcement Officers' and Firefighters Retirement System (LEOFF)*,Washington Law Enforcement Officers' and Firefighters Retirement System,Washington,0.037,0.074,114.5,110,https://www.drs.wa.gov/wp-content/uploads/2020/10/2020-CAFR.pdf
Washington Public Employees' Retirement System (PERS)*,Washington Public Employees' Retirement System,Washington,0.037,0.074,114.5,110,https://www.drs.wa.gov/wp-content/uploads/2020/10/2020-CAFR.pdf
Washington School Employees' Retirement System (SERS)*,Washington School Employees' Retirement System,Washington,0.037,0.075,114.5,110,https://www.drs.wa.gov/wp-content/uploads/2020/10/2020-CAFR.pdf
Washington Teachers Retirement System (TRS)*,Washington Teachers Retirement System,Washington,0.037,0.075,114.5,110,https://www.drs.wa.gov/wp-content/uploads/2020/10/2020-CAFR.pdf
West Virginia Public Employees Retirement System (PERS),West Virginia Public Employees Retirement System,West Virginia,0.032,0.075,6.899129,6.895386,https://www.wvretirement.com/Forms/2020-CompAnFinR.pdf
West Virginia Teachers' Retirement System (TRS),West Virginia Teachers' Retirement System,West Virginia,0.032,0.075,7.82,7.837,https://www.wvretirement.com/Forms/2020-CompAnFinR.pdf
Wisconsin Retirement System (RS),Wisconsin Retirement System,Wisconsin,,,,,
"Wyoming Retirement System, Public Employees' Pension Plan (WRS)","Wyoming Retirement System, Public Employees' Pension Plan",Wyoming,0.1103,0.07,8.294241897,7.790558842,https://retirement.wyo.gov/-/media/Documents/Actuarial-Valuations/2021PublicEmployeeActuarialReport.ashx
