"","year","plan_name","state","return_1yr","aal","mva","arr","payroll","payroll_growth_assumption","total_nc_pct","total_proj_adec_pct","total_benefit_payments"
"29",2010,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0842,28299523000,17037673000,0.08,6183204000,0.045,0.0894,0.1616,-1611418000
"30",2011,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0181,28776316000,16752218000,0.08,6159562000,0.0325,0.0938,0.1896,-1723185000
"31",2012,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.183,28251367000,18950126000,0.08,6222316000,0.0325,0.0903,0.1921,-1850258000
"32",2013,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1493,29665843000,20820372000,0.08,6263364000,0.0325,0.0923,0.1933,-1949212000
"33",2014,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1213,30837829000,22441307000,0.08,6335161000,0.0325,0.09277,0.19287,-2052294000
"34",2015,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0104,31844843000,21747731000,0.08,6350786000,0.0325,0.09585,0.19395,-2133362000
"35",2016,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1041,33143834000,22936298000,0.07875,6430999000,0.03125,0.09275,0.19485,-2212914000
"36",2017,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.1177,34688078000,24651457000,0.0775,6698835000,0.03,0.09255,0.19405,-2167464000
"37",2018,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.0942,35628398000,25935433000,0.077,6756474000,0.03,0.09866,0.19221,-2262569000
"38",2019,"Alabama Teachers' Retirement System (TRS)*","Alabama",0.000620876136363636,36665815252.3679,24958403182.3553,0.077,6959168220,0.03,0.09866,0.19221,-2330446070
"39",2001,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.0525,5528026000,5796189000,0.0825,1208700000,0,0.11424,0.17708,-259771000
"40",2002,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.0548,6133182000,5323757000,0.0825,1245054000,0,0.11846,0.31742,-279731000
"41",2003,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0367,6330541000,5318390000,0.0825,1300041000,0,0.1137,0.31641,-307684000
"42",2004,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1508,6711507000,5880443000,0.0825,1305670000,0,0.11202,0.34998,-329390000
"43",2005,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0895,7087191000,6122064000,0.0825,1404043000,0.0425,0.11418,0.39352,-357763000
"44",2006,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1174,8094043000,6568150000,0.0825,1590693000,0.04,0.1066,0.17746,-381672000
"45",2007,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1888,8662324000,7439387000,0.0825,1605819000,0.04,0.0997,0.17801,-410545000
"46",2008,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.0306,9154282000,6935808000,0.0825,1577846000,0.04,0.0995,0.18261,-439123000
"47",2009,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.2049,9702086000,5090440000,0.0825,1585490000,0.04,0.0999,0.24602,-466085000
"48",2010,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1139,10371672000,5391527000,0.08,1586697000,0.0362,0.1022,0.26652,-496015000
"49",2011,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.2122,10919047000,6267925000,0.08,1559938000,0.0362,0.1073,0.29206,-525277000
"50",2012,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0046,11428944000,6118294000,0.08,1522399000,0.0362,0.1065,0.40226,-559977000
"51",2013,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.125,11945881000,6694482000,0.08,1534665000,0.0362,0.1062,0.44986,-599318000
"52",2014,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1856,12947759000,7731438000,0.08,1405198000,0.0362,0.1308,0.36312,-640518000
"53",2015,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0329,13337929000,8606862000,0.08,1412237000,0.0362,0.1302,0.34476,-686493000
"54",2016,"Alaska Public Employees Retirement System (PERS)*","Alaska",-0.0036,13633033000,8227687000,0.08,1322925000,0.0362,0.1478,0.38996,-732141000
"55",2017,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.1335,13832130000,8943127000,0.08,1247884000,0.0362,0.1473,0.41657,-766766000
"56",2018,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.0961,14606033000,9306675000,0.0738,1159599000,0.03,0.1495,0.49824,-801155000
"57",2019,"Alaska Public Employees Retirement System (PERS)*","Alaska",0.064,14606033000,9489405000,0.0738,1049152000,NA,0.1495,0.49824,-837381000
"58",2001,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.0535,3651488000,3302567000,0.0825,496188000,0,0.13936,0.23189,-210945000
"59",2002,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.0549,3959958000,2983297000,0.0825,509437000,0,0.14829,0.44283,-222897000
"60",2003,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0368,4190970000,2917523000,0.0825,532630000,0,0.13897,0.4369,-244518000
"61",2004,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1509,4216480000,3164807000,0.0825,522421000,0,0.12676,1.00107,-255409000
"62",2005,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0901,4334585000,3239727000,0.0825,561038000,0.0425,0.12657,0.29763,-269414000
"63",2006,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1178,4859336000,3422923000,0.0825,574409000,0.04,0.1163,0.29235,-281205000
"64",2007,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1892,5043448000,3806494000,0.0825,554245000,0.04,0.1152,0.3071,-293224000
"65",2008,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.0305,5231654000,3550798000,0.0825,549148000,0.04,0.1151,0.31113,-306689000
"66",2009,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.2062,5463987000,2596433000,0.0825,557026000,0.04,0.1154,0.39669,-319148000
"67",2010,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1158,6006981000,2716557000,0.08,564887000,0.0362,0.1251,0.45747,-332690000
"68",2011,"Alaska Teachers Retirement System (TRS)*","Alaska",0.214,6196104000,3123530000,0.08,584068000,0.0362,0.1218,0.48855,-343191000
"69",2012,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0051,6399777000,3006647000,0.08,561971000,0.0362,0.1247,0.68491,-361202000
"70",2013,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1259,6589533000,3279130000,0.08,550044000,0.0362,0.122,0.75889,-380265000
"71",2014,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1846,6921362000,3771139000,0.08,514035000,0.0362,0.1296,0.53346,-396614000
"72",2015,"Alaska Teachers Retirement System (TRS)*","Alaska",0.033,7051724000,5246955000,0.08,490667000,0.0362,0.1288,0.35024,-416354000
"73",2016,"Alaska Teachers Retirement System (TRS)*","Alaska",-0.0036,7159788000,4942201000,0.08,473734000,0.0362,0.1521,0.40633,-435699000
"74",2017,"Alaska Teachers Retirement System (TRS)*","Alaska",0.1336,7217525000,5312295000,0.08,449629000,0.0362,0.1525,0.42986,-446044000
"75",2018,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0962,7276290000,5472727000,0.0738,425841000,0.03,0.1463,2.02772,-456427000
"76",2019,"Alaska Teachers Retirement System (TRS)*","Alaska",0.0639,7276290000,5511929000,0.0738,392609000,NA,0.1463,2.02772,-470414000
"77",2001,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.1707,554386854,683192443,0.09,339782697,0,0.14315,0.10235,-13433499
"78",2002,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.1473,632237814,586328473,0.09,330427800,0,0.15728,0.12888,-17576451
"79",2003,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0615,709297998,622938516,0.09,358160933,0,0.14209,0.12539,-22506792
"80",2004,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1477,795774862,719235234,0.0875,381942220,0,0.1455,0.1397,-26623619
"81",2005,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0923,906025039,788873785,0.085,404155903,0,0.1503,0.1551,-31097950
"82",2006,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0817,981207708,861782725,0.085,437743658,0,0.1403,0.1468,-36708528
"83",2007,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1677,1110801013,1012937536,0.085,515427641,0,0.1506,0.1661,-39716871
"84",2008,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.0705,1336662478,1141587845,0.085,642621478,0.055,0.1408,0.1506,-48972663
"85",2009,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.1799,1515562589,961016116,0.085,630824994,0.055,0.1423,0.1583,-55488890
"86",2010,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1347,1648733153,1112789303,0.085,616481375,0.055,0.1445,0.1668,-64039674
"87",2011,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1737,1914464397,1303797792,0.0825,609243354,0.05,0.1446,0.1847,-76359270
"88",2012,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",-0.0079,2140662415,1286978947,0.08,626233066,0.05,0.1557,0.2098,-87977793
"89",2013,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1064,2330238000,1409580021,0.0785,604068000,0.045,0.1518,0.2163,-94813343
"90",2014,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1328,2637545000,1179725924,0.0785,625264000,0.04,0.1495,0.2639,-91318857
"91",2015,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0368,2740236000,1205559015,0.0785,616267000,0.04,0.1481,0.2692,-97251701
"92",2016,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0063,2930678000,1210095975,0.075,599319000,0.04,0.1552,0.2917,-104815270
"93",2017,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.1185,3624379882,1353329947,0.074,619985000,0.035,0.1616,0.3718,-109513477
"94",2018,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0707,3506083000,1439581000,0.074,619270000,0.035,0.1608,0.36,-124793000
"95",2019,"Arizona Corrections Officers Retirement Plan (CORP)*","Arizona",0.0545,3884070116,1539625000,0.073,547363066,NA,0.15108,0.39136,-125481000
"96",2001,"Arizona EORP","Arizona",NA,250987,326159.46,NA,NA,NA,NA,NA,NA
"97",2002,"Arizona EORP","Arizona",NA,279947,265566.71,NA,NA,NA,NA,NA,NA
"98",2003,"Arizona EORP","Arizona",NA,297892,269610.6,NA,NA,NA,NA,NA,NA
"99",2004,"Arizona EORP","Arizona",NA,328921,295932.09,NA,NA,NA,NA,NA,NA
"100",2005,"Arizona EORP","Arizona",NA,360758,311203.37,NA,NA,NA,NA,NA,NA
"101",2006,"Arizona EORP","Arizona",NA,391403,327151.92,NA,NA,NA,NA,NA,NA
"102",2007,"Arizona EORP","Arizona",NA,451299,369840.65,NA,NA,NA,NA,NA,NA
"103",2008,"Arizona EORP","Arizona",NA,454340,332065.25,NA,NA,NA,NA,NA,NA
"104",2009,"Arizona EORP","Arizona",NA,506190.63,258333.11,NA,NA,NA,NA,NA,NA
"105",2010,"Arizona EORP","Arizona",NA,535770.58,279543.82,NA,NA,NA,NA,NA,NA
"106",2011,"Arizona EORP","Arizona",NA,590321.51,315016.66,NA,NA,NA,NA,NA,NA
"107",2012,"Arizona EORP","Arizona",NA,610228.77,296954.98,NA,NA,NA,NA,NA,NA
"108",2013,"Arizona EORP","Arizona",NA,620890.5,292528.32,NA,NA,NA,NA,NA,NA
"109",2014,"Arizona EORP","Arizona",NA,796245.54,314304.31,NA,NA,NA,NA,NA,NA
"110",2015,"Arizona EORP","Arizona",NA,813450.36,308668.42,NA,NA,NA,NA,NA,NA
"111",2016,"Arizona EORP","Arizona",NA,837478.37,288995,NA,NA,NA,NA,NA,NA
"112",2017,"Arizona EORP","Arizona",NA,1011953.52,298118.14,NA,NA,NA,NA,NA,NA
"113",2018,"Arizona EORP","Arizona",NA,904884.33,274746.49,0.07,NA,0.03,NA,NA,NA
"114",2019,"Arizona EORP","Arizona",0.05,949242,286064.8,0.07,70701.95,0.04,0.27,0.68,-65124.06
"115",2001,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.1686,3674758000,4422062255,0.09,826740000,0.065,0.1886,0.114,-164727744
"116",2002,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.1507,4144211000,3696318236,0.09,854249000,0.065,0.1926,0.1531,-185035202
"117",2003,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0667,4739613000,3832538098,0.09,881285000,0.065,0.1797,0.177,-209715238
"118",2004,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1497,5167333000,4309735073,0.0875,911718000,0.0625,0.1794,0.2045,-229885444
"119",2005,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0911,5951937000,4608041889,0.085,974863000,0.06,0.1836,0.2474,-257449083
"120",2006,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.083,6495012333,4906398526,0.085,1073685222,0.055,0.1773,0.2417,-284027642
"121",2007,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1705,7268291485,5531793708,0.085,1228037467,0.055,0.1998,0.2936,-439336160
"122",2008,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.0727,7405397175,5019280698,0.085,1383332020,0.055,0.1945,0.2842,-418385315
"123",2009,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.1773,7778394070,4115701122,0.085,1415642509,0.055,0.1916,0.2725,-444352210
"124",2010,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1347,8255185021,4585863403,0.085,1400543761,0.055,0.1925,0.2891,-469481695
"125",2011,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1737,9094447076,5216642852,0.0825,1325349817,0.05,0.1988,0.3335,-534386731
"126",2012,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",-0.0079,10054752250,5055828047,0.08,1349251544,0.05,0.2069,0.367,-507182015
"127",2013,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1064,10544353313,5277869004,0.0785,1370609327,0.045,0.202,0.3868,-552720457
"128",2014,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1328,12233016817,5935524128,0.0785,1390346174,0.04,0.2005,0.4873,-612104805
"129",2015,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0368,12685800419,6075768720,0.0785,1401178245,0.04,0.1989,0.5001,-665138192
"130",2016,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0063,14248709595,6042477418,0.075,1448215223,0.04,0.2381,0.5949,-810653111
"131",2017,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.1185,15578700116,6841326541,0.0715,1500335000,0.039,0.2234,0.5958,-740192481
"132",2018,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0707,16278788000,7289130000,0.074,1487787000,0.035,0.22241,0.58895,-774945000
"133",2019,"Arizona Public Safety Personnel Retirement System (PSPRS)*","Arizona",0.0545,17409057797,7829913000,0.073,1523270255,NA,0.22053,0.59089,-818430000
"134",2001,"Arizona State Retirement System (ASRS)*","Arizona",-0.067,1.9012e+10,20820944803,0.08,6356698800,0,0.1035,0.0632,-823266678
"135",2002,"Arizona State Retirement System (ASRS)*","Arizona",-0.082,2.1285e+10,17821982950,0.08,6989339000,0,0.108,0.093,-938249725
"136",2003,"Arizona State Retirement System (ASRS)*","Arizona",0.024,2.2935e+10,17418714877,0.08,7296827756,0,0.1186,0.1275,-1083342000
"137",2004,"Arizona State Retirement System (ASRS)*","Arizona",0.175,2.4506e+10,19940524999,0.08,7485590038,0,0.1188,0.1436,-1253825000
"138",2005,"Arizona State Retirement System (ASRS)*","Arizona",0.085,2.6486e+10,21029394547,0.08,8032457947,0,0.1208,0.1632,-1424949000
"139",2006,"Arizona State Retirement System (ASRS)*","Arizona",0.098,2.8192e+10,22671365333,0.08,8311869615,0,0.1236,0.1715,-1556117000
"140",2007,"Arizona State Retirement System (ASRS)*","Arizona",0.178,3.039e+10,26476068259,0.08,9161803726,0,0.1197,0.1694,-1672408000
"141",2008,"Arizona State Retirement System (ASRS)*","Arizona",-0.076,3.2425e+10,24208124045,0.08,9708352896,0,0.1224,0.1734,-1790867000
"142",2009,"Arizona State Retirement System (ASRS)*","Arizona",-0.181,3.429e+10,19506243433,0.08,9834810345,0,0.1239,0.1861,-1919309000
"143",2010,"Arizona State Retirement System (ASRS)*","Arizona",0.1491,3.6073e+10,21779421537,0.08,9419951810,0,0.127,0.2037,-2057591000
"144",2011,"Arizona State Retirement System (ASRS)*","Arizona",0.246,3.7051e+10,26440256592,0.08,9060630604,0,0.1269,0.2115,-2190728000
"145",2012,"Arizona State Retirement System (ASRS)*","Arizona",0.013,3.845e+10,26047713626,0.08,8868678184,0,0.1293,0.2195,-2327678000
"146",2013,"Arizona State Retirement System (ASRS)*","Arizona",0.131,3.9912e+10,28677043323,0.08,8752783004,0,0.1286,0.2237,-2445341000
"147",2014,"Arizona State Retirement System (ASRS)*","Arizona",0.186,4.1349e+10,33337146512,0.08,8908620792,0,0.139,0.2237,-2566372000
"148",2015,"Arizona State Retirement System (ASRS)*","Arizona",0.032,4.2968e+10,33329078636,0.08,9072376682,0.03,0.1385,0.2267,-2671496000
"149",2016,"Arizona State Retirement System (ASRS)*","Arizona",0.006,44535007068,34292592169,0.08,9125089000,0.03,0.1363,0.2268,-2804531000
"150",2017,"Arizona State Retirement System (ASRS)*","Arizona",0.139,50618760912,37783302345,0.075,9518309000,0.027,0.1547,0.2328,-2931860000
"151",2018,"Arizona State Retirement System (ASRS)*","Arizona",0.094,54236831000,40166794468,0.075,9921214513,0.025,0.1491,0.2388,-3045450000
"152",2019,"Arizona State Retirement System (ASRS)*","Arizona",0.066,56127566734,41556800159,0.075,10340300426,NA,0.1473,0.2408,-3169788000
"153",2001,"Arkansas Public Employees System (APERS)*","Arkansas",-0.0382,4.111e+09,4014116417,0.08,1.07e+09,0,0,0,-135330351
"154",2002,"Arkansas Public Employees System (APERS)*","Arkansas",-0.0574,4.398e+09,3740821354,0.08,1.112e+09,0,0.1042,0.1002,-153007132
"155",2003,"Arkansas Public Employees System (APERS)*","Arkansas",0.0553,4.674e+09,3882663393,0.08,1.148e+09,0,0.0996,0.1111,-169763198
"156",2004,"Arkansas Public Employees System (APERS)*","Arkansas",0.134,5.005e+09,4306846042,0.08,1.176e+09,0,0.0999,0.1255,-182901681
"157",2005,"Arkansas Public Employees System (APERS)*","Arkansas",0.0985,5.323e+09,4640777983,0.08,1.215e+09,0,0.1115,0.1754,-207122449
"158",2006,"Arkansas Public Employees System (APERS)*","Arkansas",0.1224,5.936e+09,5135503145,0.08,1.267e+09,0,0.1205,0.1754,-219711792
"159",2007,"Arkansas Public Employees System (APERS)*","Arkansas",0.1801,6.174e+09,5970244053,0.08,1.303e+09,0,0.1217,0.1601,-244137717
"160",2008,"Arkansas Public Employees System (APERS)*","Arkansas",-0.0445,6.543e+09,5638451921,0.08,1.38e+09,0,0.1158,0.16,-266296562
"161",2009,"Arkansas Public Employees System (APERS)*","Arkansas",-0.2089,6.938e+09,4349812685,0.08,1.434e+09,0,0.117,0.1746,-299896780
"162",2010,"Arkansas Public Employees System (APERS)*","Arkansas",0.1195,7.304e+09,4728500376,0.08,1.523e+09,0,0.1171,0.1847,-318998006
"163",2011,"Arkansas Public Employees System (APERS)*","Arkansas",0.26,7.734e+09,5801921116,0.08,1.623e+09,0,0.1166,0.1924,-344140357
"164",2012,"Arkansas Public Employees System (APERS)*","Arkansas",-0.0033,8.163e+09,5692415862,0.08,1.686e+09,0,0.1166,0.1988,-359330673
"165",2013,"Arkansas Public Employees System (APERS)*","Arkansas",0.1558,8.284e+09,6434470500,0.08,1.693e+09,0,0.0989,0.175,-396607128
"166",2014,"Arkansas Public Employees System (APERS)*","Arkansas",0.1968,8.864e+09,7531189627,0.0775,1.745e+09,0,0.1026,0.1743,-414548645
"167",2015,"Arkansas Public Employees System (APERS)*","Arkansas",0.0245,9.295e+09,7549993238,0.075,1.645e+09,0,0.1073,0.1762,-451912791
"168",2016,"Arkansas Public Employees System (APERS)*","Arkansas",0.003,9.663e+09,7370324320,0.075,1686500000,0,0.108,0.1804,-480913495
"169",2017,"Arkansas Public Employees System (APERS)*","Arkansas",0.123,1.051e+10,8028796790,0.0715,1668800000,0.0325,0.1163,0.1879,-508200406
"170",2018,"Arkansas Public Employees System (APERS)*","Arkansas",0.1023,1.0694e+10,8602752132,0.0715,1723600000,0.0325,0.1136,0.1879,-530861312
"171",2019,"Arkansas Public Employees System (APERS)*","Arkansas",0.000620876136363636,11576764723.0963,8407547533.17739,0.0715,1860978000,0.0325,0.1139,0.1868,-548114304.64
"172",2001,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",-0.029,8.561e+09,7642865577,0.08,1.557e+09,0.045,0.1515,0.1598,-323392426
"173",2002,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",-0.062,9.062e+09,7084325012,0.08,1.628e+09,0.04,0.137,0.1588,-354949683
"174",2003,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",0.02,9.445e+09,7050355544,0.08,1.683e+09,0.04,0.1296,0.169,-383071936
"175",2004,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",0.177,1.005e+10,8122004035,0.08,1.748e+09,0.04,0.1295,0.1793,-413433516
"176",2005,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",0.094,1.0973e+10,8811146753,0.08,1.962e+09,0.04,0.1275,0.1799,-451978547
"177",2006,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",0.124,1.1623e+10,9868311510,0.08,2.08e+09,0.04,0.1288,0.1816,-507641961
"178",2007,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",0.191,1.2329e+10,11636934713,0.08,2.191e+09,0.04,0.1277,0.1844,-545220337
"179",2008,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",-0.037,1.3334e+10,11018088336,0.08,2.268e+09,0.04,0.1287,0.1854,-587319942
"180",2009,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",-0.18,1.4019e+10,8802987225,0.08,2.318e+09,0.04,0.129,0.1862,-635878958
"181",2010,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",0.135,1.4697e+10,9883573998,0.08,2.381e+09,0.04,0.1289,0.1868,-701562784
"182",2011,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",0.223,1.5521e+10,11894877338,0.08,2.728e+09,0.0325,0.1218,0.1909,-731866100
"183",2012,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",-0.009,1.6139e+10,11483885509,0.08,2.714e+09,0.0325,0.1173,0.188,-791844923
"184",2013,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",0.143,1.6718e+10,12829565579,0.08,2.727e+09,0.0325,0.1175,0.1886,-846210946
"185",2014,"Arkansas Teachers Retirement Plan (ATRS)*","Arkansas",0.19,1.731e+10,14856276668,0.08,2850860174,0.0325,0.1224,0.193,-914250015
