id,display_name,state
5351,Flowing Wells Unified School District #8 - ASRS Plan,Arizona
5352,Forest Lakes Domestic Water Improvement District - ASRS Plan,Arizona
5354,Fort Mojave Mesa Fire Department - ASRS Plan,Arizona
5355,Fort Thomas Unified School District #7 - ASRS Plan,Arizona
47,Fountain Hills Fire District Relief & Pension,Arizona
5356,Fountain Hills Unified School District #98 - ASRS Plan,Arizona
5357,Fowler Elementary School District #45 - ASRS Plan,Arizona
5360,Fredonia-Moccasin Unified School District #6 - ASRS Plan,Arizona
5359,"Fredonia, Town of - ASRS Plan",Arizona
63,Fry Fire District Relief & Pension,Arizona
5361,Gadsden Elementary School District #32 - ASRS Plan,Arizona
5362,Ganado Unified School District #20 - ASRS Plan,Arizona
49,Gila Bend Fire District Relief & Pension,Arizona
5365,Gila Bend Unified School District #24 - ASRS Plan,Arizona
5366,"Gila Bend, Town of - ASRS Plan",Arizona
5369,Gila County Regional School District #49 - ASRS Plan,Arizona
5871,Gila County Sheriff's Department  - PSPRS Plan,Arizona
5906,Gilbert Fire Department  - PSPRS Plan,Arizona
41,Gilbert Fire Department Relief & Pension,Arizona
5843,Gilbert Police Department  - PSPRS Plan,Arizona
5373,Glendale Elementary School District - ASRS Plan,Arizona
5780,Glendale Fire Department  - PSPRS Plan,Arizona
5781,Glendale Police Department  - PSPRS Plan,Arizona
5374,Glendale Union High School District #205 - ASRS Plan,Arizona
5782,Globe Fire Department  - PSPRS Plan,Arizona
5890,Globe Police Department  - PSPRS Plan,Arizona
5376,Globe Unified School District #1 - ASRS Plan,Arizona
71,Golden Shores Fire District Relief & Pension,Arizona
72,Golden Valley Fire District Relief & Pension,Arizona
5378,Golder Ranch Fire District - ASRS Plan,Arizona
5894,Goodyear Fire Department  - PSPRS Plan,Arizona
42,Goodyear Fire Department Relief & Pension,Arizona
5895,Goodyear Police Department  - PSPRS Plan,Arizona
5898,Graham County Sheriff's Department - PSPRS Plan,Arizona
5383,Grand Canyon Unified School District - ASRS Plan,Arizona
5385,Green Valley Domestic Water Improvement - ASRS Plan,Arizona
5882,Greenlee County Sheriff's Department - PSPRS Plan,Arizona
60,Greer Fire District Relief & Pension,Arizona
5390,Groom Creek Fire District - ASRS Plan,Arizona
5920,Guadalupe Fire Department  - PSPRS Plan,Arizona
5393,Hackberry Elementary School District #3 - ASRS Plan,Arizona
5395,Harquahala Valley Irrigation District - ASRS Plan,Arizona
5930,Hayden Police Department  - PSPRS Plan,Arizona
5397,Hayden-Winkelman Unified School District #41 - ASRS Plan,Arizona
5398,Heber-Overgaard Fire District - ASRS Plan,Arizona
5399,Heber-Overgaard Unified School District #6 - ASRS Plan,Arizona
6043,Hellsgate Fire District - ASRS Plan,Arizona
5401,Highlands Fire District - ASRS Plan,Arizona
5402,Higley Unified School District #60 - ASRS Plan,Arizona
5403,Hillside Elementary School District #35 - ASRS Plan,Arizona
5846,Holbrook Police Department  - PSPRS Plan,Arizona
5404,Holbrook Unified School District #3 - ASRS Plan,Arizona
51,Holbrook Volunteer Fire Department Relief & Pension,Arizona
5997,Huachuca City Police Department  - PSPRS Plan,Arizona
5411,Humboldt Unified School District #22 - ASRS Plan,Arizona
5412,Hyder Elementary School District #16 - ASRS Plan,Arizona
5417,Isaac School District #5 - ASRS Plan,Arizona
5418,J.O. Combs Unified School District - ASRS Plan,Arizona
5957,Jerome Police Department  - PSPRS Plan,Arizona
56,Jerome Volunteer Fire Department Relief & Pension,Arizona
75,Joseph City Fire District Relief & Pension,Arizona
5422,Kayenta Unified School District #27 - ASRS Plan,Arizona
5912,Kearny Police Department  - PSPRS Plan,Arizona
5783,Kingman Fire Department  - PSPRS Plan,Arizona
50,Kingman Fire Department Relief & Pension,Arizona
5807,Kingman Police Department  - PSPRS Plan,Arizona
5426,Kingman Unified School District #20 - ASRS Plan,Arizona
5428,Kirkland Elementary School District #23 - ASRS Plan,Arizona
5429,Kyrene School District #28 - ASRS Plan,Arizona
5862,La Paz County Sheriff's Department - PSPRS Plan,Arizona
5809,Lake Havasu City Fire Department  - PSPRS Plan,Arizona
5831,Lake Havasu City Police Department - PSPRS Plan,Arizona
5431,Lake Havasu Unified School District #1 - ASRS Plan,Arizona
5433,Lakeside Fire District - ASRS Plan,Arizona
5434,Laveen Elementary School District #59 - ASRS Plan,Arizona
5436,Liberty Elementary School District #25 - ASRS Plan,Arizona
5439,Linden Fire Department - ASRS Plan,Arizona
5440,Litchfield Elementary School District #79 - ASRS Plan,Arizona
5441,"Litchfield Park, City of - ASRS Plan",Arizona
5442,Littlefield Unified School District #9 - ASRS Plan,Arizona
5443,Littleton Elementary School District #65 - ASRS Plan,Arizona
5445,Madison School District #38 - ASRS Plan,Arizona
5446,Maine Consolidated School District #10 - ASRS Plan,Arizona
5889,Mammoth Police Department  - PSPRS Plan,Arizona
5447,Mammoth-San Manuel Unified School District #8 - ASRS Plan,Arizona
5448,Marana Domestic Water Improvement District - ASRS Plan,Arizona
5866,Marana Police Department  - PSPRS Plan,Arizona
5449,Marana Unified School District #6 - ASRS Plan,Arizona
5918,Maricopa Cnty Atty Investigators  - PSPRS Plan,Arizona
5452,Maricopa County - ASRS Plan,Arizona
6009,Maricopa County - CORP Plan,Arizona
5454,Maricopa County Municipal Water Conservation District #1 - ASRS Plan,Arizona
5950,Maricopa County Park Rangers  - PSPRS Plan,Arizona
5455,Maricopa County Regional School District #509 - ASRS Plan,Arizona
5784,Maricopa County Sheriff's Office  - PSPRS Plan,Arizona
5457,Maricopa Unified School District #20 - ASRS Plan,Arizona
5458,"Maricopa, City of - ASRS Plan",Arizona
87,Mayer Fire District Relief & Pension,Arizona
5462,Mayer Unified School District #43 - ASRS Plan,Arizona
88,McMullen Valley Fire District Relief & Pension,Arizona
5463,McNary Elementary School District #23 - ASRS Plan,Arizona
5464,McNeal Elementary School District #55 - ASRS Plan,Arizona
5785,Mesa Fire Department  - PSPRS Plan,Arizona
5786,Mesa Police Department  - PSPRS Plan,Arizona
5465,Mesa Unified School District #4 - ASRS Plan,Arizona
5468,Metropolitan Domestic Water Improvement District - ASRS Plan,Arizona
6031,Miami Fire Dept,Arizona
5875,Miami Police Department  - PSPRS Plan,Arizona
5470,Miami Unified School District #40 - ASRS Plan,Arizona
5473,Mingus Union High School District #4 - ASRS Plan,Arizona
5474,Mobile Elementary School District #86 - ASRS Plan,Arizona
5810,Mohave County Sheriff's Department - PSPRS Plan,Arizona
5481,Mohave Valley Elementary School District #16 - ASRS Plan,Arizona
5482,Mohave Valley Fire Department - ASRS Plan,Arizona
73,Mohave Valley Fire District Relief & Pension,Arizona
5484,Montezuma Rimrock Fire District - ASRS Plan,Arizona
5485,Morenci Unified School District #18 - ASRS Plan,Arizona
5486,Morristown Elementary School District #75 - ASRS Plan,Arizona
77,Mount Lemmon Fire District Relief & Pension,Arizona
76,Mountain Vista Fire District Relief & Pension,Arizona
5491,Mt Lemmon Domestic Water Improvement District - ASRS Plan,Arizona
5492,Murphy Elementary School District #21 - ASRS Plan,Arizona
5493,Naco Elementary School District No. 23 - ASRS Plan,Arizona
5494,Nadaburg Unified School District No. 81 - ASRS Plan,Arizona
5834,Navajo County Sheriff's Department - PSPRS Plan,Arizona
5500,New Magma Irrigation & Drainage District - ASRS Plan,Arizona
5787,Nogales Fire Department  - PSPRS Plan,Arizona
5842,Nogales Police Department  - PSPRS Plan,Arizona
81,Nogales Suburban Fire District Relief & Pension,Arizona
5504,Nogales Unified School District #1 - ASRS Plan,Arizona
54,Nogales Volunteer Fire Department Relief & Pension,Arizona
5510,Northern Arizona Consolidated Fire District - ASRS Plan,Arizona
5518,Northwest Fire District - ASRS Plan,Arizona
5520,Oracle School District #2 - ASRS Plan,Arizona
5881,Oro Valley Police Department - PSPRS Plan,Arizona
5522,Osborn School District #8 - ASRS Plan,Arizona
5523,Owens-Whitney Elementary School District #6 - ASRS Plan,Arizona
5857,Page Fire Department  - PSPRS Plan,Arizona
36,Page Fire Department Relief & Pension,Arizona
5856,Page Police Department  - PSPRS Plan,Arizona
5525,Page Unified School District #8 - ASRS Plan,Arizona
5529,Paloma Elementary School District #94 - ASRS Plan,Arizona
5530,Palominas Elementary School District #49 - ASRS Plan,Arizona
5838,Paradise Valley Police Department  - PSPRS Plan,Arizona
5532,Paradise Valley Unified School District #69 - ASRS Plan,Arizona
5825,Parker Police Department  - PSPRS Plan,Arizona
5537,Parker Unified School District #27 - ASRS Plan,Arizona
59,Parker Volunteer Fire District Relief & Pension,Arizona
5539,Patagonia Elementary School District #6 - ASRS Plan,Arizona
55,Patagonia Fire Department Relief & Pension,Arizona
5541,Patagonia Union High School District #20 - ASRS Plan,Arizona
5817,Payson Fire Department  - PSPRS Plan,Arizona
37,Payson Fire Department Relief & Pension,Arizona
5818,Payson Police Department  - PSPRS Plan,Arizona
5544,Payson Unified School District #10 - ASRS Plan,Arizona
5546,Peach Springs Unified School District #8 - ASRS Plan,Arizona
5548,Pearce Elementary School District #22 - ASRS Plan,Arizona
83,Peeples Valley Fire District Relief & Pension,Arizona
5549,Pendergast Elementary School District #92 - ASRS Plan,Arizona
5836,Peoria Fire Department  - PSPRS Plan,Arizona
43,Peoria Fire Department Relief & Pension,Arizona
5837,Peoria Police Department  - PSPRS Plan,Arizona
5550,Peoria Unified School District #11 - ASRS Plan,Arizona
5552,Phoenix Elementary School District #1 - ASRS Plan,Arizona
44,Phoenix Employees Retirement System,Arizona
5788,Phoenix Fire Department  - PSPRS Plan,Arizona
5789,Phoenix Police Department  - PSPRS Plan,Arizona
5554,Phoenix Union High School District - ASRS Plan,Arizona
5556,Picacho Elementary School District No. 33 - ASRS Plan,Arizona
5557,Picture Rocks Fire & Medical District - ASRS Plan,Arizona
5806,Pima County Sheriff's Department  - PSPRS Plan,Arizona
5859,Pima Police Department  - PSPRS Plan,Arizona
5569,Pima Unified School District #6 - ASRS Plan,Arizona
5863,Pinal County Sheriff's Department  - PSPRS Plan,Arizona
5577,Pine Strawberry School District #12 - ASRS Plan,Arizona
5578,Pine-Strawberry Fire District - ASRS Plan,Arizona
5579,Pinetop Fire Department - ASRS Plan,Arizona
5580,Pinetop Water Community Facilities District - ASRS Plan,Arizona
5872,Pinetop-Lakeside Police Department - PSPRS Plan,Arizona
5583,Pinewood Fire Department - ASRS Plan,Arizona
65,Pleasant Valley Fire District Relief & Pension,Arizona
5587,Pomerene School District #64 - ASRS Plan,Arizona
5588,Ponderosa Park Domestic Water Improvement District - ASRS Plan,Arizona
5790,Prescott Fire Department  - PSPRS Plan,Arizona
5791,Prescott Police Department  - PSPRS Plan,Arizona
5589,Prescott Unified School District #1 - ASRS Plan,Arizona
5848,Prescott Valley Police Department  - PSPRS Plan,Arizona
61,Puerco Valley Fire District Relief & Pension,Arizona
5596,Quartzsite Elementary School District #4 - ASRS Plan,Arizona
5901,Quartzsite Police Department  - PSPRS Plan,Arizona
5991,Queen Creek Fire Department  - PSPRS Plan,Arizona
5597,Queen Creek Unified School District #95 - ASRS Plan,Arizona
5599,Queen Valley Domestic Water Improvement District - ASRS Plan,Arizona
79,Queen Valley Fire District Relief & Pension,Arizona
5601,Ray Unified School District No. 3 - ASRS Plan,Arizona
5602,Red Mesa Unified School District #27 - ASRS Plan,Arizona
5606,Rio Rico Medical & Fire District - ASRS Plan,Arizona
5607,Riverside Elementary School District #2 - ASRS Plan,Arizona
5608,Roosevelt Elementary School District #66 - ASRS Plan,Arizona
5609,Roosevelt Irrigation District - ASRS Plan,Arizona
5613,Sacaton Elementary School District #18 - ASRS Plan,Arizona
5614,Saddle Mountain Unified School District #90 - ASRS Plan,Arizona
5814,Safford Police Department  - PSPRS Plan,Arizona
5615,Safford Unified School District #1 - ASRS Plan,Arizona
5927,Sahuarita Police Department  - PSPRS Plan,Arizona
5619,Salome Consolidated Elementary School District #30 - ASRS Plan,Arizona
69,Salt River Project Agricultural Improvement and Power District Employees' Retirement Plan,Arizona
5621,San Carlos Irrigation and Drainage District - ASRS Plan,Arizona
5622,San Carlos Unified School District #20 - ASRS Plan,Arizona
5623,San Fernando Elementary School District #35 - ASRS Plan,Arizona
5916,San Luis Fire Department  - PSPRS Plan,Arizona
5855,San Luis Police Department  - PSPRS Plan,Arizona
5625,San Simon Unified School District #18 - ASRS Plan,Arizona
5626,Sanders Unified School District #18 - ASRS Plan,Arizona
5847,Santa Cruz County Sheriff's Department - PSPRS Plan,Arizona
5628,Santa Cruz Valley Unified School District No. 35 - ASRS Plan,Arizona
5629,Santa Cruz Valley Union High School District #840 - ASRS Plan,Arizona
5968,Scottsdale Fire Department  - PSPRS Plan,Arizona
5792,Scottsdale Police Department  - PSPRS Plan,Arizona
5631,Scottsdale Unified School District #48 - ASRS Plan,Arizona
5632,"Scottsdale, City of - ASRS Plan",Arizona
57,Sedona Fire Department Relief & Pension,Arizona
5634,Sedona Fire District - ASRS Plan,Arizona
5888,Sedona Police Department  - PSPRS Plan,Arizona
5637,Sedona-Oak Creek Unified School District #9 - ASRS Plan,Arizona
5639,Seligman Unified School District #40 - ASRS Plan,Arizona
5840,Show Low Police Department  - PSPRS Plan,Arizona
5641,Show low Unified School District #10 - ASRS Plan,Arizona
5793,Sierra Vista Fire Department  - PSPRS Plan,Arizona
5803,Sierra Vista Police Department  - PSPRS Plan,Arizona
5644,Sierra Vista Unified School District #68 - ASRS Plan,Arizona
5829,Snowflake Police Department  - PSPRS Plan,Arizona
5649,Snowflake Unified School District #5 - ASRS Plan,Arizona
5924,Somerton Fire Department  - PSPRS Plan,Arizona
5922,Somerton Police Department  - PSPRS Plan,Arizona
5652,Somerton School District No. 11 - ASRS Plan,Arizona
5654,Sonoita Elementary School District #25 - ASRS Plan,Arizona
5655,Sonoita-Elgin Fire Dist - ASRS Plan,Arizona
5823,South Tucson Fire Department  - PSPRS Plan,Arizona
5832,South Tucson Police Department  - PSPRS Plan,Arizona
5852,Springerville Police Department  - PSPRS Plan,Arizona
5663,St. David Unified School District #21 - ASRS Plan,Arizona
5909,St. Johns Police Department  - PSPRS Plan,Arizona
5664,St. Johns Unified School District - ASRS Plan,Arizona
5666,Stanfield Elementary School District #24 - ASRS Plan,Arizona
5667,"Star Valley, Town of - ASRS Plan",Arizona
5671,Summit Fire & Medical District - ASRS Plan,Arizona
5672,Sun City Fire District - ASRS Plan,Arizona
5673,Sun City West Fire District - ASRS Plan,Arizona
5674,Sun Lakes Fire District - ASRS Plan,Arizona
5676,Sunnyside Unified School District - ASRS Plan,Arizona
5677,Sunsites-Pearce Fire District - ASRS Plan,Arizona
5854,Superior Police Department  - PSPRS Plan,Arizona
5678,Superior Unified School District #15 - ASRS Plan,Arizona
5680,Superstition Fire & Medical District - ASRS Plan,Arizona
5879,Surprise Fire Department  - PSPRS Plan,Arizona
48,Surprise Fire Dept Relief & Pension,Arizona
5869,Surprise Police Department  - PSPRS Plan,Arizona
5684,Tanque Verde Unified School District #13 - ASRS Plan,Arizona
5685,"Taylor, Town of - ASRS Plan",Arizona
5687,Tempe Elementary School District #3 - ASRS Plan,Arizona
5794,Tempe Fire Department  - PSPRS Plan,Arizona
5795,Tempe Police Department  - PSPRS Plan,Arizona
5688,Tempe Union School District No. 213 - ASRS Plan,Arizona
5876,Thatcher Police Department  - PSPRS Plan,Arizona
5690,Thatcher Unified School District #4 - ASRS Plan,Arizona
5692,Three Points Fire District - ASRS Plan,Arizona
5693,Timber Mesa Fire and Medical District - ASRS Plan,Arizona
5694,Tolleson Elementary School District #17 - ASRS Plan,Arizona
5867,Tolleson Fire Department  - PSPRS Plan,Arizona
5850,Tolleson Police Department  - PSPRS Plan,Arizona
5695,Tolleson Union High School District #214 - ASRS Plan,Arizona
5697,Toltec School District #22 - ASRS Plan,Arizona
5891,Tombstone Marshal's Department  - PSPRS Plan,Arizona
5698,Tombstone Unified School District/Tombstone USD #1 - ASRS Plan,Arizona
5700,Tonopah Valley Fire District - ASRS Plan,Arizona
5701,Tonto Basin School District #33 - ASRS Plan,Arizona
67,Tri-City Fire District Relief & Pension,Arizona
5705,Tuba City Unified School District #15 - ASRS Plan,Arizona
78,Tucson Country Club Estates Fire District Relief & Pension,Arizona
5709,Tucson Unified School District #1 - ASRS Plan,Arizona
52,"Tucson, AZ Supplemental Retirement System",Arizona
5710,Tusayan Fire District - ASRS Plan,Arizona
5711,"Tusayan, Town of - ASRS Plan",Arizona
5712,Union Elementary School District No. 62 - ASRS Plan,Arizona
5714,Vail School District #20 - ASRS Plan,Arizona
5715,Valentine ESD #22 - ASRS Plan,Arizona
5722,Verde Valley Fire District - ASRS Plan,Arizona
5723,Vernon Elementary School District #9 - ASRS Plan,Arizona
5725,Walnut Grove Elementary School District #7 - ASRS Plan,Arizona
5726,Washington Elementary School District #6 - ASRS Plan,Arizona
5728,"Wellton, Town of - ASRS Plan",Arizona
5729,Wenden Elementary School District #19 - ASRS Plan,Arizona
5735,Whetstone Fire District - ASRS Plan,Arizona
68,Whispering Pines Fire District Relief & Pension,Arizona
5736,White Mountain Summer Homes Water Improvement District - ASRS Plan,Arizona
5737,Whiteriver Unified School District #20 - ASRS Plan,Arizona
5964,Wickenburg Fire Department  - PSPRS Plan,Arizona
45,Wickenburg Fire Department Relief & Pension,Arizona
5885,Wickenburg Police Department  - PSPRS Plan,Arizona
70,Wickenburg Rural Fire District Relief & Pension,Arizona
5738,Wickenburg Unified School District #9 - ASRS Plan,Arizona
35,Willcox Fire Department Relief & Pension,Arizona
5839,Willcox Police Department  - PSPRS Plan,Arizona
5740,Willcox Unified School District #13 - ASRS Plan,Arizona
5874,Williams Police Department  - PSPRS Plan,Arizona
5742,Williams Unified School District #2 - ASRS Plan,Arizona
