"year","state","plan_name","statutory_pct","er_proj_adec_pct","ee_nc_pct","total_amortization_payment_pct","total_nc_pct"
2019,"Alaska","Alaska Teachers Retirement System",NA,"0.46723000000000003","0.0436","0.36413","0.1467"
2011,"Michigan","Michigan State Employees Retirement System",NA,"0.46395","0.0","0.39425","0.0697"
2015,"Illinois","Illinois State Employees Retirement System","0.42805","0.45231000000000005","0.05706","0.30533000000000005","0.20404"
2013,"Illinois","Illinois State University Retirement System","0.3581","0.45038","0.0801","0.34239","0.1881"
2014,"Illinois","Illinois State Employees Retirement System","0.4388","0.44311000000000006","0.053989999999999996","0.28772","0.20938"
2016,"Connecticut","Connecticut State Employees Retirement System",NA,"0.4431","0.0225","0.3448","0.1208"
2013,"Connecticut","Connecticut State Employees Retirement System",NA,"0.4394","0.01996","0.3563","0.10305999999999998"
2015,"Connecticut","Connecticut State Employees Retirement System",NA,"0.4369","-8e-05","0.3569","0.07992"
2014,"Connecticut","Connecticut State Employees Retirement System",NA,"0.4342","0.0221","0.3543","0.102"
2012,"Illinois","Illinois State University Retirement System","0.3631","0.43263","0.0801","0.31977","0.19297"
2018,"Alaska","Alaska Public Employees Retirement System",NA,"0.42887","0.06937","0.34874","0.1495"
2013,"Louisiana","Louisiana Municipal Police Retirement System",NA,"0.42544","0.09984","0.36053","0.16475"
2015,"Arizona","Arizona Public Safety Personnel Retirement System",NA,"0.4236","0.0765","0.3012","0.1989"
2011,"Alaska","Alaska Teachers Retirement System",NA,"0.42065","0.0679","0.36675","0.1218"
2019,"Illinois","Illinois Teachers Retirement System","0.1041","0.4172","0.09","0.3187","0.1885"
2018,"Alaska","Alaska Teachers Retirement System",NA,"0.41563999999999995","0.046","0.31534","0.1463"
2011,"Illinois","Illinois State University Retirement System","0.3451","0.41267","0.07382999999999999","0.28608","0.20040999999999998"
2009,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.41263","0.0","0.29652","0.1161"
2012,"Louisiana","Louisiana Municipal Police Retirement System",NA,"0.41144","0.09917000000000001","0.34571999999999997","0.16489"
2013,"Illinois","Illinois State Employees Retirement System","0.40472","0.41105","0.05694","0.28097","0.18702"
2014,"Arizona","Arizona Public Safety Personnel Retirement System",NA,"0.4108","0.0765","0.2868","0.2005"
2017,"Connecticut","Connecticut State Employees Retirement System",NA,"0.40886999999999996","0.0","0.34506","0.0638"
2018,"Louisiana","Louisiana State Employees Retirement System",NA,"0.408","0.0802","0.3708","0.1174"
2019,"Louisiana","Louisiana State Employees Retirement System",NA,"0.406","0.0805","0.3736","0.1129"
2020,"Louisiana","Louisiana State Employees Retirement System",NA,"0.402","0.0806","0.3785","0.1041"
2020,"Illinois","Illinois State University Retirement System",NA,"0.40114","0.06427000000000001","0.30404000000000003","0.16136"
2016,"Kentucky","Kentucky Employees Retirement System",NA,"0.40088","0.05264","0.35697","0.09655"
2018,"Illinois","Illinois Teachers Retirement System","0.1066","0.4002","0.09","0.2992","0.191"
2017,"Illinois","Illinois State University Retirement System","0.3712","0.39445","0.06659","0.2933","0.16774"
2019,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.39396","0.0937","0.26757","0.22009"
2017,"Illinois","Illinois Teachers Retirement System","0.0985","0.3912","0.09812","0.3085","0.18082"
2010,"Alaska","Alaska Teachers Retirement System",NA,"0.38587","0.0716","0.33237","0.1251"
2017,"Alaska","Alaska Teachers Retirement System",NA,"0.38095999999999997","0.0489","0.27736","0.1525"
2013,"Alaska","Alaska Public Employees Retirement System",NA,"0.38008000000000003","0.06977","0.34365999999999997","0.1062"
2017,"Louisiana","Louisiana State Employees Retirement System",NA,"0.379","0.0801","0.3415","0.1176"
2012,"Connecticut","Connecticut State Employees Retirement System",NA,"0.3782","0.0195","0.3037","0.094"
2016,"Louisiana","Louisiana State Employees Retirement System",NA,"0.378","0.0798","0.3387","0.1191"
2018,"Illinois","Illinois State University Retirement System","0.4212","0.37706","0.0663","0.27211","0.17125"
2019,"Illinois","Illinois State University Retirement System","0.44","0.37690999999999997","0.06532","0.27483","0.16741"
2015,"Kentucky","Kentucky Employees Retirement System",NA,"0.37556999999999996","0.05231","0.3434","0.08448"
2016,"Illinois","Illinois State University Retirement System","0.3924","0.3751","0.06611","0.27071999999999996","0.17049"
2013,"Louisiana","Louisiana State Employees Retirement System",NA,"0.374","0.0791","0.3086","0.1445"
2012,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.3736","0.002","0.1495","0.261"
2012,"Illinois","Illinois State Employees Retirement System","0.38435","0.37301999999999996","0.056620000000000004","0.24495","0.18467999999999998"
2019,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.37125","0.027819999999999998","0.13929","0.25978"
2014,"Louisiana","Louisiana State Employees Retirement System",NA,"0.37","0.0795","0.3344","0.1152"
2018,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.36698000000000003","0.09377","0.24566999999999997","0.21508000000000002"
2016,"Illinois","Illinois Teachers Retirement System","0.101","0.3664","0.09829","0.2728","0.19189"
2014,"Illinois","Illinois State University Retirement System","0.3661","0.36380999999999997","0.06853","0.26331","0.16902"
2010,"Illinois","Illinois State University Retirement System","0.2421","0.3638","0.07518","0.22984000000000002","0.20914000000000002"
2014,"Illinois","Illinois Teachers Retirement System","0.0936","0.3599","0.10062","0.281","0.17952"
2015,"Louisiana","Louisiana State Employees Retirement System",NA,"0.358","0.0797","0.318","0.1197"
2009,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.35715","0.08567999999999999","0.16317","0.27965999999999996"
2015,"Illinois","Illinois State University Retirement System","0.3729","0.35709","0.06787","0.25219","0.17277"
2010,"Rhode Island","Rhode Island Employees Retirement System",NA,"0.35674","0.09208","0.3323","0.11653"
2011,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.3565","0.0021","0.1319","0.2588"
2002,"Alaska","Alaska Teachers Retirement System",NA,"0.35573","0.0871","0.29454","0.14829"
2016,"Alaska","Alaska Teachers Retirement System",NA,"0.35453","0.0518","0.25423","0.1521"
2015,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.35204","0.02713","0.11115","0.26803"
2018,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.352","0.027160000000000004","0.11747","0.26168"
2014,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.35131","0.027510000000000003","0.10969000000000001","0.26913000000000004"
2016,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.3509","0.0009","0.1187","0.2729"
2013,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.35064","0.02785","0.11029000000000001","0.2682"
2003,"Alaska","Alaska Teachers Retirement System",NA,"0.35","0.0869","0.29793000000000003","0.13897"
2011,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.34954","0.02443","0.08661","0.28736"
2016,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.34917","0.0286","0.11144000000000001","0.26634"
2012,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.34748","0.025480000000000003","0.0818","0.29116"
2017,"Alaska","Alaska Public Employees Retirement System",NA,"0.34722","0.06935","0.26927","0.1473"
2017,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.34702","0.0297","0.11308","0.26365"
2020,"California","University of California Retirement System",NA,"0.3447","0.06572","0.1451","0.26532"
2010,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.341","0.0023","0.117","0.2481"
2011,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.34044","0.08572","0.19802","0.22814"
2015,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.3392","0.0009","0.1131","0.2646"
2013,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.339","0.0019","0.1261","0.2487"
2019,"California","University of California Retirement System",NA,"0.3376","0.06912","0.1356","0.27111999999999997"
2019,"Louisiana","Louisiana Municipal Police Retirement System",NA,"0.3369","0.08","0.2369","0.18"
2018,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.336","0.0006","0.1017","0.2741"
2015,"Illinois","Illinois Teachers Retirement System","0.0827","0.3358","0.10042000000000001","0.2556","0.18062"
2017,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.3355","0.0007","0.1014","0.2739"
2018,"Pennsylvania","Pennsylvania State Employees' Retirement System",NA,"0.3353","0.0495","0.3228","0.062"
2019,"Pennsylvania","Pennsylvania Public School Employees' Retirement System",NA,"0.3351","0.0761","0.2614","0.1498"
2020,"Pennsylvania","Pennsylvania Public School Employees' Retirement System",NA,"0.3351","0.0761",NA,"0.1498"
2019,"Pennsylvania","Pennsylvania State Employees' Retirement System",NA,"0.3345","0.0495","0.3178","0.0662"
2018,"Pennsylvania","Pennsylvania Public School Employees' Retirement System",NA,"0.3336","0.0759","0.2587","0.1508"
2019,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.3331","0.0007","0.1","0.2744"
2012,"Alaska","Alaska Public Employees Retirement System",NA,"0.33245","0.06982000000000001","0.29575999999999997","0.1065"
2008,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.33061","0.08575","0.13874","0.27762"
2008,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.33003000000000005","0.0","0.21505","0.11498"
2011,"Louisiana","Louisiana Municipal Police Retirement System",NA,"0.33002","0.07518","0.24044000000000001","0.16476"
2013,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.33","0.075","0.2234","0.1816"
2017,"Pennsylvania","Pennsylvania State Employees' Retirement System",NA,"0.329","0.0625","0.2802","0.1113"
2017,"Pennsylvania","Pennsylvania Public School Employees' Retirement System",NA,"0.326","0.0757","0.2501","0.1516"
2005,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.3258","0.0","0.1996","0.1262"
2013,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.32575","0.09917000000000001","0.21466999999999997","0.21024"
2018,"Louisiana","Louisiana Municipal Police Retirement System",NA,"0.3255","0.08","0.2266","0.1789"
2010,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.32523","0.02299","0.0501","0.29812"
2005,"Alaska","Alaska Public Employees Retirement System",NA,"0.32511999999999996","0.0684","0.27934000000000003","0.11417999999999999"
2006,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.32472","0.0","0.20999","0.11473"
2012,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.3246","0.08429","0.19802999999999998","0.21086"
2004,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.3243","0.0","0.1933","0.131"
2007,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.32352","0.0","0.20873000000000003","0.11479"
2014,"Kentucky","Kentucky County Employees Retirement System",NA,"0.32347","0.05194","0.28793","0.08748"
2012,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.323","0.075","0.2162","0.1818"
2016,"Pennsylvania","Pennsylvania State Employees' Retirement System",NA,"0.3222","0.0625","0.2731","0.1116"
2009,"Alaska","Alaska Teachers Retirement System",NA,"0.32169000000000003","0.075","0.28129","0.1154"
2015,"Pennsylvania","Pennsylvania State Employees' Retirement System","0.295","0.3214","0.0625","0.2762","0.1077"
2016,"Alaska","Alaska Public Employees Retirement System",NA,"0.32061999999999996","0.06935","0.24216","0.1478"
2018,"Connecticut","Connecticut Teachers Retirement System",NA,"0.3204","0.06","0.275","0.1054"
2019,"Connecticut","Connecticut Teachers Retirement System",NA,"0.3204","0.06",NA,"0.1054"
2009,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.31968","0.02584","0.04911","0.29641999999999996"
2014,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.319","0.0011","0.1053","0.2499"
2015,"Louisiana","Louisiana Municipal Police Retirement System",NA,"0.31778","0.09852000000000001","0.23428000000000002","0.18202000000000002"
2016,"Pennsylvania","Pennsylvania Public School Employees' Retirement System",NA,"0.3174","0.0754","0.2404","0.1524"
2012,"Louisiana","Louisiana State Employees Retirement System",NA,"0.317","0.0857","0.256","0.1467"
2014,"Louisiana","Louisiana Municipal Police Retirement System",NA,"0.31514000000000003","0.09986","0.25062","0.16438"
2014,"Pennsylvania","Pennsylvania State Employees' Retirement System","0.25","0.3151","0.0625","0.2656","0.112"
2013,"Pennsylvania","Pennsylvania State Employees' Retirement System","0.205","0.3141","0.0625","0.2641","0.1125"
2017,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.31390999999999997","0.10409000000000002","0.18115","0.23684000000000002"
2016,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.31386","0.10429000000000001","0.20936999999999997","0.20879"
2012,"Pennsylvania","Pennsylvania State Employees' Retirement System","0.16","0.3122","0.0625","0.2621","0.1126"
2014,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.31073","0.10472000000000001","0.20288","0.21258000000000002"
2010,"Connecticut","Connecticut State Employees Retirement System",NA,"0.3106","0.0192","0.2206","0.1092"
2013,"Arizona","Arizona Public Safety Personnel Retirement System",NA,"0.3103","0.0765","0.1848","0.202"
2020,"Kentucky","Kentucky Teachers' Retirement System",NA,"0.30992","0.09029","0.2542","0.146"
2012,"Kentucky","Kentucky Employees Retirement System",NA,"0.30955","0.05221","0.27105999999999997","0.09068999999999999"
2011,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.308","0.075","0.2019","0.1811"
2010,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.30768","0.0855","0.1659","0.22728"
2019,"Arizona","Arizona Corrections Officers Retirement Plan",NA,"0.30738000000000004","0.08398","0.24026","0.15108"
2011,"Illinois","Illinois State Employees Retirement System","0.36116","0.30609000000000003","0.057139999999999996","0.17079","0.19244"
2003,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.3047","0.0","0.1759","0.1288"
2019,"Kentucky","Kentucky Teachers' Retirement System","Univ=13.650%; Non-Univ=16.105%","0.30446","0.09026","0.24929","0.14543"
2013,"Iowa","Iowa Municipal Fire and Police Retirement System",NA,"0.3041","0.094","0.2123","0.1858"
2016,"Connecticut","Connecticut Teachers Retirement System",NA,"0.3035","0.06","0.2579","0.1056"
2017,"Connecticut","Connecticut Teachers Retirement System",NA,"0.3035","0.06","0.2579","0.1056"
2013,"California","University of California Retirement System",NA,"0.3033","0.06504","0.1263","0.24204"
2013,"Kentucky","Kentucky Employees Retirement System",NA,"0.3032","0.05222","0.26708000000000004","0.08834"
2019,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.3032","0.08","0.2259","0.1573"
2009,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.3032","0.0027","0.0862","0.2413"
2014,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.302","0.075","0.1941","0.1829"
2012,"Iowa","Iowa Municipal Fire and Police Retirement System",NA,"0.3012","0.094","0.2115","0.1837"
2016,"Kentucky","Kentucky Teachers' Retirement System","Univ=13.650%; Non-Univ=16.105%","0.29935","0.09017","0.24244000000000002","0.14709"
2019,"Kentucky","Kentucky County Employees Retirement System",NA,"0.29859","0.05545","0.23125","0.12272999999999999"
2015,"Michigan","Michigan Municipal Retirement System",NA,"0.29857","0.04844","0.22305999999999998","0.12395"
2020,"Missouri","Missouri Local Government Employees Retirement System",NA,"0.29761","0.01132","0.19927","0.10966"
2018,"Kentucky","Kentucky Teachers' Retirement System","Univ=13.650%; Non-Univ=16.105%","0.29707","0.09022000000000001","0.24198000000000003","0.14532"
2017,"Kentucky","Kentucky Teachers' Retirement System","Univ=13.650%; Non-Univ=16.105%","0.29616","0.09025","0.24026","0.14615"
2015,"Alaska","Alaska Teachers Retirement System",NA,"0.29544000000000004","0.0548","0.22144","0.1288"
2011,"Louisiana","Louisiana State Employees Retirement System",NA,"0.294","0.0852","0.2262","0.153"
2014,"Alaska","Alaska Public Employees Retirement System",NA,"0.29394000000000003","0.06917999999999999","0.23231999999999997","0.1308"
2015,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.29393","0.10472000000000001","0.18675","0.2119"
2009,"West Virginia","West Virginia Teachers’ Retirement System",NA,"0.2921","0.06","0.25952","0.09258"
2015,"Pennsylvania","Pennsylvania Public School Employees' Retirement System",NA,"0.292","0.0752","0.2089","0.1583"
2008,"Utah","Utah Retirement Systems, Public Safety Retirement System",NA,"0.2915","0.0031","0.0757","0.2399"
2012,"Arizona","Arizona Public Safety Personnel Retirement System",NA,"0.2905","0.0765","0.1601","0.2069"
2014,"Kentucky","Kentucky Teachers' Retirement System","Univ=13.650%; Non-Univ=16.105%","0.2891","0.09012","0.21481999999999998","0.1644"
2015,"Kentucky","Kentucky Teachers' Retirement System","Univ=13.650%; Non-Univ=16.105%","0.28898","0.09015","0.21461","0.16452"
2011,"Connecticut","Connecticut State Employees Retirement System",NA,"0.2886","0.0194","0.2172","0.0908"
2014,"California","University of California Retirement System",NA,"0.2879","0.0797","0.112","0.2556"
2017,"Arizona","Arizona Corrections Officers Retirement Plan",NA,"0.2877","0.0841","0.2102","0.1616"
2017,"Kentucky","Kentucky County Employees Retirement System",NA,"0.28765","0.065","0.2298","0.12285"
2009,"Illinois","Illinois State University Retirement System","0.2127","0.2874","0.07877","0.18559","0.18059"
2017,"Indiana","Indiana State Teachers Retirement Fund",NA,"0.28720999999999997","0.0","0.23104","0.05616"
2015,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.2872","0.08","0.19","0.1772"
2011,"Ohio","Ohio Police and Fire Pension Fund",NA,"0.2871","0.1","0.1876","0.1995"
2013,"Illinois","Illinois Teachers Retirement System","0.0802","0.2863","0.09745","0.204","0.17975"
2007,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.28613","0.08573","0.10385","0.26802"
2008,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.28609","0.02519","0.01815","0.29312"
2010,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.286","0.075","0.1766","0.1844"
2012,"West Virginia","West Virginia Teachers’ Retirement System",NA,"0.286","0.06","0.2423","0.1037"
2017,"Michigan","Michigan Municipal Retirement System",NA,"0.28583000000000003","0.04867","0.21400999999999998","0.12049000000000001"
2010,"Illinois","Illinois State Employees Retirement System","0.32252","0.2858","0.05794","0.1692","0.17454"
2012,"California","University of California Retirement System",NA,"0.2856","0.05004","0.1112","0.22444"
2012,"New York","New York State & Local Police & Fire Retirement System",NA,"0.2855","0.0009",NA,NA
2020,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.2852","0.08","0.2111","0.1541"
2015,"California","University of California Retirement System",NA,"0.2844","0.07828","0.1071","0.25558000000000003"
2018,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.2844","0.08","0.2068","0.1576"
2006,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.2842","0.08569","0.09199","0.2779"
2007,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.28408","0.02622","0.01486","0.29544000000000004"
2019,"Michigan","Michigan Public School Employees Retirement System",NA,"0.2829","0.0494","0.2236","0.1088"
2004,"Iowa","Iowa Municipal Fire and Police Retirement System",NA,"0.2821","0.094",NA,NA
2004,"Alaska","Alaska Public Employees Retirement System",NA,"0.28188","0.0681","0.23795999999999998","0.11202000000000001"
2016,"Michigan","Michigan Municipal Retirement System",NA,"0.28165","0.0489","0.20792","0.12262999999999999"
2016,"California","University of California Retirement System",NA,"0.2799","0.07745","0.1045","0.25285"
2016,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.2788","0.08","0.1896","0.1692"
2020,"Vermont","Vermont State Teachers' Retirement System",NA,"0.27834000000000003","0.05","0.22254000000000002","0.1058"
2017,"Louisiana","Louisiana School Employees’ Retirement System",NA,"0.2783","0.08","0.1921","0.1662"
2014,"Pennsylvania","Pennsylvania Public School Employees' Retirement System",NA,"0.2782","0.0749","0.1944","0.1587"
2010,"Michigan","Michigan State Employees Retirement System",NA,"0.27799","0.0","0.20909","0.0689"
2014,"Iowa","Iowa Municipal Fire and Police Retirement System",NA,"0.2777","0.094","0.1843","0.1874"
2005,"Iowa","Iowa Municipal Fire and Police Retirement System",NA,"0.2775","0.094",NA,NA
2013,"Louisiana","Teachers’ Retirement System of Louisiana","0.118","0.277","0.0798","0.2266","0.1302"
2010,"West Virginia","West Virginia Teachers’ Retirement System",NA,"0.2766","0.06","0.24254","0.09407"
2018,"Arizona","Arizona Corrections Officers Retirement Plan",NA,"0.2759","0.0841","0.1992","0.1608"
2015,"Alaska","Alaska Public Employees Retirement System",NA,"0.27562","0.06914","0.21456","0.1302"
2005,"New Jersey","Police & Firemens Retirement System Of New Jersey",NA,"0.27539","0.08582000000000001","0.08205","0.27915"
2010,"California","California State Teachers Retirement System","0.0825","0.27512","0.06","0.15799000000000002","0.17712999999999998"
2002,"Missouri","Missouri MoDOT & Patrol Employees’ Retirement System",NA,"0.274","0.0","0.1522","0.1218"
2013,"New York","New York State & Local Police & Fire Retirement System",NA,"0.2737","0.0022",NA,NA
2014,"Indiana","Indiana State Teachers Retirement Fund",NA,"0.2735","0.0","0.21805","0.055439999999999996"
2014,"Kentucky","Kentucky Employees Retirement System",NA,"0.27326999999999996","0.052270000000000004","0.2375","0.08804"
2016,"Indiana","Indiana State Teachers Retirement Fund",NA,"0.27288","0.0","0.22221","0.05067"
2008,"Ohio","Ohio Police and Fire Pension Fund",NA,"0.2727","0.1","0.1511","0.2216"
2010,"Louisiana","Louisiana Municipal Police Retirement System",NA,"0.27258000000000004","0.07407000000000001","0.18839","0.15825999999999998"
2005,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.272","0.02475","0.034089999999999995","0.26266999999999996"
2011,"Kentucky","Kentucky Employees Retirement System",NA,"0.27191","0.05215","0.23135","0.09271"
2006,"Nevada","Public Employees Retirement System of Nevada - Police and Firefighters Plan",NA,"0.27136","0.02508","0.0362","0.26024"
2012,"Louisiana","Teachers’ Retirement System of Louisiana","0.118","0.271","0.0846","0.2188","0.1368"
2017,"California","University of California Retirement System",NA,"0.27","0.07501000000000001","0.0962","0.24881"
2013,"West Virginia","West Virginia Teachers’ Retirement System",NA,"0.2694","0.06","0.22537","0.10403"
2016,"New Jersey","New Jersey Teachers’ Pension & Annuity Fund",NA,"0.26935","0.06921000000000001","0.22860999999999998","0.10995"
2016,"Colorado","Colorado PERA, School Division Fund",NA,"0.268","0.08","0.2258","0.1222"
2011,"West Virginia","West Virginia Teachers’ Retirement System",NA,"0.2679","0.06","0.2245","0.10340999999999999"
2013,"Indiana","Indiana State Teachers Retirement Fund",NA,"0.2676","0.0","0.21324","0.05435"
2019,"California","California State Teachers Retirement System","0.1628","0.26728","0.10227","0.16552","0.20403"
2018,"Michigan","Michigan Public School Employees Retirement System",NA,"0.267","0.0485","0.2076","0.1079"
2019,"Rhode Island","Rhode Island Employees Retirement System",NA,"0.26653000000000004","0.0395","0.22571999999999998","0.08031"
2019,"Indiana","Indiana State Teachers Retirement Fund",NA,"0.26628","0.0","0.21635","0.04992"
2010,"Ohio","Ohio Police and Fire Pension Fund",NA,"0.2645","0.1","0.1415","0.223"
2017,"West Virginia","West Virginia Teachers’ Retirement System",NA,"0.2644","0.06","0.2175","0.1069"
2015,"Indiana","Indiana State Teachers Retirement Fund",NA,"0.26438","0.0","0.21424","0.05014"
