"","year","plan_name","state","return_1yr","actuarial_cost_method_in_gasb_reporting","funded_ratio","ava","mva","aal","tpl","adec","adec_paid_pct","statutory","statutory_pct","amortizaton_method","total_benefit_payments","benefit_payments","refunds","admin_exp","cost_structure","payroll","ee_contribution","ee_nc_pct","er_contribution","er_nc_pct","er_state_contribution","er_proj_adec_pct","other_contribution","other_additions","fy_contribution","inflation_assum","arr","dr","number_of_years_remaining_on_amortization_schedule","payroll_growth_assumption","total_amortization_payment_pct","total_contribution","total_nc_pct","total_number_of_members","total_proj_adec_pct","type_of_employees_covered","unfunded_actuarially_accrued_liabilities_dollar","wage_inflation"
"11","2011","Alabama Employees' Retirement System (ERS)","Alabama","0.0221","Entry Age Normal","0.658","9456158000","8130435000","14366796000",NA,"394998000","1.0",NA,NA,"Level Percent Open","-819755000","827273750","36798000","-10002000",NA,"3540681000","193697000","0.0501","394998000",NA,"183221000","0.1126","2012000",NA,NA,NA,"0.08",NA,"29.0","0.0325","0.0849","590707000","0.0778",NA,NA,"Plan covers state and local employees","4910638000","0.0325"
"12","2012","Alabama Employees' Retirement System (ERS)","Alabama","0.1801","Entry Age Normal","0.657","9116551000","9188696000","13884995000",NA,"317520000","1.0",NA,NA,"Level Percent Open","-889210000","864958380","40746000","-10616000",NA,"3252003000","214933000","0.0726","317520000",NA,"118646000","0.1198","1937000",NA,NA,NA,"0.08",NA,"28.0","0.0325","0.096","534390000","0.0964",NA,NA,"Plan covers state and local employees","4768444000","0.0325"
"13","2013","Alabama Employees' Retirement System (ERS)","Alabama","0.146","Entry Age Normal","0.657","9546459000","10091940000","14536600000",NA,"338819000","1.0",NA,NA,"Level Percent Closed","-940312000","898211880","44837000","-9767000",NA,"3400596000","221823000","0.0748","338819000",NA,"125363000","0.1222","1823000",NA,NA,NA,"0.08",NA,"28.0","0.0325","0.0971","562465000","0.0999",NA,NA,"Plan covers state and local employees","4990141000","0.0325"
"14","2014","Alabama Employees' Retirement System (ERS)","Alabama","0.1202","Entry Age Normal","0.669","10134581000","10883952000","15138294000","15525291000","379163000","0.0",NA,NA,"Level Percent Closed","-996414000","930223380","47937000","-9612000",NA,"3444341000","223135000","0.0746","391181000",NA,"144736000","0.1195","2881000",NA,NA,NA,"0.08",NA,"28.0","0.0325","0.0943","617197000","0.0998",NA,NA,"Plan covers state and local employees","5003713000","0.0325"
"15","2015","Alabama Employees' Retirement System (ERS)","Alabama","0.0105","Entry Age Normal","0.673","10589258000","10551904000","15723720000","15961667000","411087000","1.0",NA,NA,"Level Percent Closed","-1069539000","966982560","51024000","-11136000",NA,"3488017000","225767000","0.0744","410932000",NA,"136977000","0.117","3487000",NA,NA,NA,"0.08",NA,"28.0","0.0325","0.0921","640186000","0.0993",NA,NA,"Plan covers state and local employees","5134462000","0.0325"
"16","2016","Alabama Employees' Retirement System (ERS)","Alabama","0.1022","Entry Age Normal","0.662","11082279635","11177074000","16728009000","16960380000","435243000","1.0",NA,NA,"Level Percent Closed","-1084285000","1008381100","49436000","-11002000",NA,"3572891000","231794000","0.0742","435098000",NA,"141168000","0.1183","6223000",NA,NA,NA,"0.07875",NA,"28.0","0.03125","0.0964","673115000","0.0961",NA,NA,"Plan covers state and local employees","5645728918","0.03125"
"17","2017","Alabama Employees' Retirement System (ERS)","Alabama","0.1286","Entry Age Normal","0.678","11690952000","12122471000","17250835000","17390739000","426369000","1.0",NA,NA,"Level Percent Closed","-1098023000","1041042300",NA,"-11982000",NA,"3584700000","230488000","0.0741","426215000",NA,NA,"0.1104","3413000",NA,NA,NA,"0.0775",NA,"28.0","0.03","0.088","660116000","0.0965",NA,NA,"Plan covers state and local employees","5559883000","0.03"
"18","2018","Alabama Employees' Retirement System (ERS)","Alabama","0.0929","Entry Age Normal","0.687","12240597000","12720352000","17829735000","17861887000","426340000","1.0",NA,NA,"Level Percent Closed","-1141953000","1084915300","45070000000","-11219000",NA,"3679181000","236842000",NA,"426340000",NA,"198241787000",NA,"4899000",NA,NA,NA,"0.077",NA,"28.0",NA,NA,"668081000",NA,NA,NA,"Plan covers state and local employees","5589138000",NA
"19","2019","Alabama Employees' Retirement System (ERS)","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plan covers state and local employees",NA,NA
"20","2001","Alabama Teachers' Retirement System (TRS)","Alabama","-0.0605","Entry Age Normal","1.014","17475298000","15814533000","17238616000",NA,"279880000","1.0",NA,NA,"Level Percent Open","-846052000","818744630","26449000","-6023000",NA,"4305080000","228088000","0.05","279880000",NA,"271003000","0.0552","2530000",NA,NA,NA,"0.08",NA,"10.0","0.045","-0.0026","510498000","0.1078",NA,NA,"Plan covers teachers","-236682000",NA
"21","2002","Alabama Teachers' Retirement System (TRS)","Alabama","-0.0781","Entry Age Normal","0.974","17904881000","14167952000","18374174000",NA,"265670000","1.0",NA,NA,"Level Percent Open","-893893000","886969000","35510000","-6845000",NA,"4379183000","233789000","0.05","265670000",NA,"265670000","0.0754","1937000",NA,NA,NA,"0.08",NA,"10.0","0.045","0.0163","501396000","0.1091",NA,NA,"Plan covers teachers","469293000",NA
"22","2003","Alabama Teachers' Retirement System (TRS)","Alabama","0.1598","Entry Age Normal","0.936","18110470000","15685620000","19357735000",NA,"235786000","1.0",NA,NA,"Level Percent Open","-964771000","1027877000","25876000","-7011000",NA,"4632611000","249996000","0.05","235786000",NA,"235786000","0.0944","2022000",NA,NA,NA,"0.08",NA,"10.0","0.045","0.0352","487804000","0.1092",NA,NA,"Plan covers teachers","1247265000",NA
"23","2004","Alabama Teachers' Retirement System (TRS)","Alabama","0.1071","Entry Age Normal","0.896","18704009000","16853149000","20886190000",NA,"312474000","1.0",NA,NA,"Level Percent Open","-1023744000","1144626800","32084000","-7361000",NA,"4846677000","251714000","0.05","312474000",NA,"235786000","0.0936","2146000",NA,NA,NA,"0.08",NA,"20.0","0.045","0.035","566334000","0.1086",NA,NA,"Plan covers teachers","2182181000",NA
"24","2005","Alabama Teachers' Retirement System (TRS)","Alabama","0.1126","Entry Age Normal","0.836","19248207000","18168523000","23027338000",NA,"347862000","1.0",NA,NA,"Level Percent Open","-1129073000","1210649100","35983000","-10372000",NA,"5326408000","260149000","0.05","347862000",NA,"312474000","0.1106","2707000",NA,NA,NA,"0.08",NA,"20.0","0.045","0.053","610718000","0.1076",NA,NA,"Plan covers teachers","3779131000",NA
"25","2006","Alabama Teachers' Retirement System (TRS)","Alabama","0.0882","Entry Age Normal","0.828","19821133000","19207803000","23945100000",NA,"434195000","1.0",NA,NA,"Level Percent Open","-1243934000","1399366600","36350000","-11325000",NA,"5458443000","278220000","0.05","434195000",NA,"347863000","0.1207","3235000",NA,NA,NA,"0.08",NA,"20.0","0.045","0.0562","715650000","0.1145",NA,NA,"Plan covers teachers","4123967000",NA
"26","2007","Alabama Teachers' Retirement System (TRS)","Alabama","0.1746","Entry Age Normal","0.795","20650916000","21918750000","25971534000",NA,"540847000","1.0",NA,NA,"Level Percent Open","-1435282000","1465133300","37474000","-9614000",NA,"6310616000","302272000","0.05","540847000",NA,"540847000","0.1251","2814000",NA,NA,NA,"0.08",NA,"20.0","0.045","0.0623","845933000","0.1128",NA,NA,"Plan covers teachers","5320618000",NA
"27","2008","Alabama Teachers' Retirement System (TRS)","Alabama","-0.1536","Entry Age Normal","0.776","20812477000","18100387000","26804117000",NA,"729995000","1.0",NA,NA,"Level Percent Open","-1524188000","1531056000","37317000","-12216000",NA,"6294341000","323822000","0.05","729995000",NA,"729995000","0.1338","3182000",NA,NA,NA,"0.08",NA,"20.0","0.045","0.0699","1056999000","0.1139",NA,NA,"Plan covers teachers","5991640000",NA
"28","2009","Alabama Teachers' Retirement System (TRS)","Alabama","-0.0794","Entry Age Normal","0.747","20582348000","16120988000","27537400000",NA,"753518000","1.0",NA,NA,"Level Percent Open","-1554597000","1601275600","42337000","-11005000",NA,"6236922000","321100000","0.05","753518000",NA,"753487000","0.1275","2606000",NA,NA,NA,"0.08",NA,"30.0","0.045","0.0633","1077224000","0.1142",NA,NA,"Plan covers teachers","6955052000",NA
"29","2010","Alabama Teachers' Retirement System (TRS)","Alabama","0.0842","Entry Age Normal","0.711","20132779000","17037673000","28299523000",NA,"776421000","1.0",NA,NA,"Level Percent Open","-1611418000","1679430900","30596000","-11979000",NA,"6183204000","319770000","0.05","776421000",NA,"758775000","0.1116","1633000",NA,NA,NA,"0.08",NA,"30.0","0.045","0.0722","1097824000","0.0894",NA,NA,"Plan covers teachers","8166744000",NA
"30","2011","Alabama Teachers' Retirement System (TRS)","Alabama","0.0181","Entry Age Normal","0.675","19430135000","16752218000","28776316000",NA,"779644000","1.0",NA,NA,"Level Percent Open","-1723185000","1760247300","49304000","-10820000",NA,"6159562000","321137000","0.0725","779644000",NA,"0","0.1171","2059000",NA,NA,NA,"0.08",NA,"30.0","0.0325","0.0958","1102840000","0.0938",NA,NA,"Plan covers teachers","9346181000","0.0325"
"31","2012","Alabama Teachers' Retirement System (TRS)","Alabama","0.183","Entry Age Normal","0.665","18786008000","18950126000","28251367000",NA,"618306000","1.0",NA,NA,"Level Percent Open","-1850258000","1818998900","40746000","-11555000",NA,"6222316000","456518000","0.075","618306000",NA,"618309000","0.1171","2016000",NA,NA,NA,"0.08",NA,"30.0","0.0325","0.1018","1076840000","0.0903",NA,NA,"Plan covers teachers","9465359000","0.0325"
"32","2013","Alabama Teachers' Retirement System (TRS)","Alabama","0.1493","Entry Age Normal","0.662","19629816000","20820372000","29665843000",NA,"627892000","1.0",NA,NA,"Level Percent Closed","-1949212000","1871441400","55891000","-12591000",NA,"6263364000","474241000","0.07437","627892000",NA,"627892000","0.11894","3345000",NA,NA,NA,"0.08",NA,"29.0","0.0325","0.101","1105478000","0.0923",NA,NA,"Plan covers teachers","10036027000","0.0325"
"33","2014","Alabama Teachers' Retirement System (TRS)","Alabama","0.1213","Entry Age Normal","0.675","20809871000","22441307000","30837829000","30437059000","716753000","1.0",NA,NA,"Level Percent Closed","-2052294000","1927711900","54699000","-13103000",NA,"6335161000","477300000","0.07376","739547000",NA,"739547000","0.11912","3549000",NA,NA,NA,"0.08",NA,"29.0","0.0325","0.1001","1220396000","0.09277",NA,NA,"Plan covers teachers","10027958000","0.0325"
"34","2015","Alabama Teachers' Retirement System (TRS)","Alabama","0.0104","Entry Age Normal","0.683","21740280000","21747731000","31844843000","31338446000","737677000","1.0",NA,NA,"Level Percent Closed","-2133362000","1991149800","57970000","-15074000",NA,"6350786000","473903000","0.0731","737671000",NA,"737671000","0.12085","4015000",NA,NA,NA,"0.08",NA,"29.0","0.0325","0.0981","1215589000","0.09585",NA,NA,"Plan covers teachers","10104563000","0.0325"
"35","2016","Alabama Teachers' Retirement System (TRS)","Alabama","0.1041","Entry Age Normal","0.683","22645511571","22936298000","33143834000","33762303000","751909000","1.0",NA,NA,"Level Percent Closed","-2212914000","2053762300","63353000","-14873000",NA,"6430999000","472390000","0.07251","751902000",NA,"751902000","0.12234","3590000",NA,NA,NA,"0.07875",NA,"29.0","0.03125","0.1021","1227882000","0.09275",NA,NA,"Plan covers teachers","10498322000","0.03125"
"36","2017","Alabama Teachers' Retirement System (TRS)","Alabama","0.1177","Entry Age Normal","0.689","23887077000","24651457000","34688078000","34479936000","782702000","1.0",NA,NA,"Level Percent Closed","-2167464000","2118982500",NA,"-16390000",NA,"6698835000","486542000","0.07196","782695000",NA,NA,"0.12209","3096000",NA,NA,NA,"0.0775",NA,"28.0","0.03","0.1015","1272333000","0.09255",NA,NA,"Plan covers teachers","10801001000","0.03"
"37","2018","Alabama Teachers' Retirement System (TRS)","Alabama","0.0942","Entry Age Normal","0.702","25006419000","25935433000","35628398000","35878014000","802598000","1.0",NA,NA,"Level Percent Closed","-2262569000","2191704800","55634000000","-15952000",NA,"6756474000","488503000","0.07137","802598000",NA,"0","0.12084","29663000",NA,NA,NA,"0.077",NA,"28.0","0.03","0.09355","1320764000","0.09866",NA,NA,"Plan covers teachers","10621979000",NA
"38","2019","Alabama Teachers' Retirement System (TRS)","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Plan covers teachers",NA,NA
"39","2001","Alaska Public Employees Retirement System","Alaska","-0.0525","Projected Unit Credit","1.009","5579440000","5796189000","5528026000",NA,"65151000","1.053",NA,NA,"Level Dollar Open","-259771000","268325720","-9339000","-3322000",NA,"1208700000","67537000","0.0683","68604000",NA,"41018000","0.10878",NA,NA,NA,NA,"0.0825",NA,"25.0",NA,"0.06284","136141000","0.11424000000000001",NA,NA,"Plan covers state and local employees","-51414000","0.035"
"40","2002","Alaska Public Employees Retirement System","Alaska","-0.0548","Projected Unit Credit","0.752","4611170000","5323757000","6133182000",NA,"65485000","1.029",NA,NA,"Level Percent Fixed","-279731000","293137030","-9150000","-3756000",NA,"1245054000","71558000","0.0683","67385000",NA,"40289000","0.24911999999999998",NA,NA,NA,NA,"0.0825",NA,"25.0",NA,"0.19896","138943000","0.11846",NA,NA,"Plan covers state and local employees","1522012000","0.035"
"41","2003","Alaska Public Employees Retirement System","Alaska","0.0367","Projected Unit Credit","0.728","4607673000","5318390000","6330541000",NA,"63283000","1.103",NA,NA,"Level Percent Fixed","-307684000","318487690","-9165000","-4138000",NA,"1300041000","78889000","0.0681","69801000",NA,"57759000","0.24831",NA,NA,NA,NA,"0.0825",NA,"25.0",NA,"0.20272","148690000","0.1137",NA,NA,"Plan covers state and local employees","1722868000","0.035"
"42","2004","Alaska Public Employees Retirement System","Alaska","0.1508","Projected Unit Credit","0.702","4709592000","5880443000","6711507000",NA,"74178000","1.0",NA,NA,"Level Percent Fixed","-329390000","344780340","-10344000","-3721000",NA,"1305670000","83290000","0.0681","74178000",NA,"64097000","0.28188",NA,NA,NA,NA,"0.0825",NA,"25.0",NA,"0.23795999999999998","157468000","0.11202000000000001",NA,NA,"Plan covers state and local employees","2001915000","0.035"
"43","2005","Alaska Public Employees Retirement System","Alaska","0.0895","Projected Unit Credit","0.657","4658413000","6122064000","7087191000",NA,"234361000","0.473",NA,NA,"Level Percent Fixed","-357763000","371908720","-10318000","-3114000",NA,"1404043000","71312000","0.0684","110853000",NA,"67620000","0.32511999999999996",NA,NA,NA,NA,"0.0825",NA,"25.0","0.0425","0.27934000000000003","182165000","0.11417999999999999",NA,NA,"Plan covers state and local employees","2428778000",NA
"44","2006","Alaska Public Employees Retirement System","Alaska","0.1174","Entry Age Normal","0.782","6331065000","6568150000","8094043000",NA,"249488000","0.654",NA,NA,"Level Percent Fixed","-381672000","400262660","-8429000","-3477000",NA,"1590693000","71666000","0.0684","152198000",NA,"135231000","0.10905999999999999",NA,NA,NA,NA,"0.0825",NA,"25.0","0.04","0.07086","234909000","0.1066",NA,NA,"Plan covers state and local employees","1762978000","0.035"
"45","2007","Alaska Public Employees Retirement System","Alaska","0.1888","Entry Age Normal","0.778","6739004000","7439387000","8662324000",NA,"268742000","0.773",NA,NA,"Level Dollar Fixed","-410545000","428296160","-8575000","-3663000",NA,"1605819000","71023000","0.06858","196641000",NA,"161478000","0.10943",NA,NA,NA,NA,"0.0825",NA,"25.0","0.04","0.07831","278562000","0.0997",NA,NA,"Plan covers state and local employees","1923320000","0.035"
"46","2008","Alaska Public Employees Retirement System","Alaska","-0.0306","Entry Age Normal","0.788","7210772000","6935808000","9154282000",NA,"140729000","1.074",NA,NA,"Level Dollar Fixed","-439123000","454571810","-14333000","-6585000",NA,"1577846000","120506000","0.0694","100323000",NA,"50875000","0.11320999999999999","0",NA,NA,NA,"0.0825",NA,"25.0","0.04","0.08311","271704000","0.0995",NA,NA,"Plan covers state and local employees","1943510000","0.035"
"47","2009","Alaska Public Employees Retirement System","Alaska","-0.2049","Entry Age Normal","0.63","6108528000","5090440000","9702086000",NA,"166016000","1.161",NA,NA,"Level Dollar Closed","-466085000","482989630","-12498000","-6568000",NA,"1585490000","118815000","0.06951","113059000",NA,"79681000","0.17651","0",NA,NA,NA,"0.0825",NA,"25.0","0.04","0.14612","311555000","0.0999",NA,NA,"Plan covers state and local employees","3593558000","0.035"
"48","2010","Alaska Public Employees Retirement System","Alaska","0.1139","Entry Age Normal","0.624","6469832000","5391527000","10371672000",NA,"217080000","0.86",NA,NA,"Level Dollar Closed","-496015000","511936310","-12364000","-6365000",NA,"1586697000","123066000","0.06969","142157000",NA,"44460000","0.19683","0",NA,NA,NA,"0.08",NA,"25.0","0.0362","0.16432","309683000","0.1022",NA,NA,"Plan covers state and local employees","3901840000","0.0362"
"49","2011","Alaska Public Employees Retirement System","Alaska","0.2122","Entry Age Normal","0.619","6762149000","6267925000","10919047000",NA,"220419000","0.927",NA,NA,"Level Dollar Closed","-525277000","545647880","-11923000","-6744000",NA,"1559938000","116270000","0.06967000000000001","139075000",NA,"65187000","0.22239","0",NA,NA,NA,"0.08",NA,"25.0","0.0362","0.18475999999999998","320532000","0.1073",NA,NA,"Plan covers state and local employees","4156898000","0.0362"
"50","2012","Alaska Public Employees Retirement System","Alaska","0.0046","Entry Age Normal","0.571","6530421000","6118294000","11428944000",NA,"351674000","0.892",NA,NA,"Level Dollar Closed","-559977000","583928380","-10906000","-6743000",NA,"1522399000","112703000","0.06982000000000001","182695000",NA,"130912000","0.33245","0",NA,NA,NA,"0.08",NA,"25.0","0.0362","0.29575999999999997","426310000","0.1065",NA,NA,"Plan covers state and local employees","4898523000","0.0362"
"51","2013","Alaska Public Employees Retirement System","Alaska","0.125","Entry Age Normal","0.545","6510749000","6694482000","11945881000",NA,"382889000","0.899",NA,NA,"Level Dollar Closed","-599318000","507107690","-10929000","-7120000",NA,"1534665000","110808000","0.06977","179976000",NA,"271455000","0.38008000000000003","0",NA,NA,NA,"0.08",NA,"25.0","0.0362","0.34365999999999997","454871000","0.1062",NA,NA,"Plan covers state and local employees","5435132000","0.0362"
"52","2014","Alaska Public Employees Retirement System","Alaska","0.1856","Entry Age Normal","0.597","7731438000","7731438000","12947759000","12395578000","358718000","1.06769",NA,NA,"Level Percent Closed","-640518000","542842190","-11399000","-8223000",NA,"1405198000","106565000","0.06917999999999999","206204000",NA,"300922000","0.29394000000000003","0",NA,NA,NA,"0.08",NA,"25.0","0.0362","0.23231999999999997","489563000","0.1308",NA,NA,"Plan covers state and local employees","5216321000","0.0362"
"53","2015","Alaska Public Employees Retirement System","Alaska","0.0329","Entry Age Normal","0.67","8931160000","8606862000","13337929000","13456876000","529264000","2.31668",NA,NA,"Level Percent Closed","-686493000","574752560","-10049000","-7553000",NA,"1412237000","100036000","0.06914","226136000",NA,"1135175000","0.27562","0",NA,NA,NA,"0.08",NA,"25.0","0.0362","0.21456","1326172000","0.1302",NA,NA,"Plan covers state and local employees","4406769000","0.0362"
"54","2016","Alaska Public Employees Retirement System","Alaska","-0.0036","Entry Age Normal","0.664","9056662000","8227687000","13633033000","13817285000","566615000","0.57172",NA,NA,"Level Percent Closed","-732141000","611960810","-10034000","-7243000",NA,"1322925000","96024000","0.06935","235360000",NA,"227697000","0.32061999999999996","0",NA,NA,NA,"0.08",NA,"25.0","0.0362","0.24216","419970000","0.1478",NA,NA,"Plan covers state and local employees","4576371000","0.0362"
"55","2017","Alaska Public Employees Retirement System","Alaska","0.1335","Entry Age Normal","0.667","9229703000","8943127000","13832130000","14112569000","368766000","0.98372",NA,NA,"Level Percent Closed","-766766000","648746130","-10421000","-7526000",NA,"1247884000","89345000","0.06935","263597000",NA,NA,"0.34722","0",NA,NA,NA,"0.08",NA,"25.0","0.0362","0.26927","452109000","0.1473",NA,NA,"Plan covers state and local employees","4602427000","0.0362"
"56","2018","Alaska Public Employees Retirement System","Alaska","0.0961","Entry Age Normal","0.646","9430192000","9306675000","14606033000","14275702000","395663000","0.94116",NA,NA,"Level Percent Closed","-801155000","822390940","-11722000","-6250000",NA,"1159599000","84956000","0.06937","299665000",NA,"243853507000","0.42887","0",NA,NA,NA,"0.0738",NA,"25.0",NA,"0.34874","457340000","0.1495",NA,NA,"Plan covers state and local employees","5175841000",NA
"57","2019","Alaska Public Employees Retirement System","Alaska","0.064","Entry Age Normal","0.646","9430192000","9489405000","14606033000","14963635000","414243000","1.0101799999999999",NA,NA,"Level Percent Closed","-837381000","822390940","-10638000","-7429000",NA,"1049152000","79609000","0.06937","350601000",NA,NA,"0.42887","0",NA,NA,NA,"0.0738",NA,"25.0",NA,NA,"498067000","0.1495",NA,NA,"Plan covers state and local employees","5175841000",NA
"58","2001","Alaska Teachers Retirement System","Alaska","-0.0535","Projected Unit Credit","0.9498347543539235","3468310000","3302567000","4603147000",NA,"46067000","1.14",NA,NA,"Level Percent Fixed","-210945000","217271050","-3058000","-1583000",NA,"496188000","52516379.99999999","0.0872","52399000",NA,"4097000","0.14469","0",NA,NA,NA,"0.0825","0.0825","25.0",NA,"0.09253","92204000","0.13935999999999998",NA,NA,"Plan covers teachers","183178000","0.035"
"59","2002","Alaska Teachers Retirement System","Alaska","-0.0549","Projected Unit Credit","0.6816851521220362","2699445000","2983297000","5411642000",NA,"32331000","1.55",NA,NA,"Level Percent Fixed","-222897000","237094550","-2549000","-1712000",NA,"509437000","50113050","0.0871","50161000",NA,"3651000","0.35573","0",NA,NA,NA,"0.0825","0.0825","25.0",NA,"0.29454","91885000","0.14829",NA,NA,"Plan covers teachers","1260513000","0.035"
"60","2003","Alaska Teachers Retirement System","Alaska","0.0368","Projected Unit Credit","0.6429980144317414","2694785000","2917523000","5835609000",NA,"37800000","1.33",NA,NA,"Level Percent Fixed","-244518000","255192610","-3064000","-1911000",NA,"532630000","50274000","0.0869","50157000",NA,"4914000","0.35","0",NA,NA,NA,"0.0825","0.0825","25.0",NA,"0.29793000000000003","94675000","0.13897",NA,NA,"Plan covers teachers","1496185000","0.035"
"61","2004","Alaska Teachers Retirement System","Alaska","0.1509","Projected Unit Credit","0.6279590436997844","2647777000","3164807000","6123600000",NA,"65571000","0.83",NA,NA,"Level Percent Fixed","-255409000","267556310","-3323000","-1748000",NA,"522421000","54423930","0.0868","54492000",NA,"5489000","0.91427","0",NA,NA,NA,"0.0825","0.0825","25.0",NA,"0.8743","99997000","0.12675999999999998",NA,NA,"Plan covers teachers","1568703000","0.035"
"62","2005","Alaska Teachers Retirement System","Alaska","0.0901","Projected Unit Credit","0.6092028752233574","2640642000","3239727000","6498556000",NA,"152168000","0.45",NA,NA,"Level Percent Fixed","-269414000","265746160","-3202000","-1485000",NA,"535837000","68475600","0.0869","68448000",NA,"7457000","0.21073000000000003","0",NA,NA,NA,"0.0825","0.0825","25.0","0.0425","0.17105","109421000","0.12657000000000002",NA,NA,"Plan covers teachers","1693943000",NA
